transformer_id,transformer_name,feeder_id,cnc,substation_id,substation_name,age_years,load_factor,maintenance_score,oil_quality_index,temperature_rise_c,failure_within_1yr,pole_id,gps_lat,gps_lon,capacity_kva,installation_year,previous_failures,last_serviced_date,last_oil_replacement_date
T0011,Lenyenye Substation 3 TX-001,F264,Lenyenye,SS-LNY-03,Lenyenye Substation 3,12.2,0.413,0.433,0.348,61.5,0,POLE-LNY-00011,-23.95829,30.3065,1000,2014,0,2026-05-30,2025-12-01
T0012,Tzaneen Substation 1 TX-002,F488,Tzaneen,SS-TZN-01,Tzaneen Substation 1,18.9,0.381,0.633,0.58,53.8,0,POLE-TZN-00012,-23.83373,30.16835,50,2007,2,2026-03-20,2025-06-11
T0013,Ga-Kgapane Substation 3 TX-002,F368,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,20.1,0.256,0.623,0.583,57.1,0,POLE-GKG-00013,-23.87075,30.38013,500,2006,2,2026-06-29,2024-12-08
T0014,Haenertsburg Substation 2 TX-001,F381,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,14.1,0.57,0.758,0.666,65.2,0,POLE-HBG-00014,-23.97881,29.91931,200,2012,2,2026-02-17,2025-10-31
T0015,Xihoko Substation 3 TX-001,F359,Xihoko,SS-XHK-03,Xihoko Substation 3,6.9,0.588,0.745,0.77,56.8,0,POLE-XHK-00015,-23.71319,30.3707,800,2019,1,2026-06-06,2026-05-12
T0016,Politsi Substation 2 TX-002,F394,Politsi,SS-PLT-02,Politsi Substation 2,6.8,0.261,0.142,0.187,51.3,0,POLE-PLT-00016,-23.82878,30.01649,1000,2019,2,2026-01-05,2025-10-29
T0017,Nkowankowa Substation 3 TX-001,F257,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,8.5,0.435,0.606,0.64,43.7,0,POLE-NKW-00017,-23.93166,30.26435,1600,2017,1,2026-04-22,2025-08-27
T0018,Haenertsburg Substation 1 TX-001,F065,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,14.1,0.552,0.735,0.822,52.9,0,POLE-HBG-00018,-23.9469,29.95825,1600,2012,1,2026-07-06,2026-02-24
T0019,Haenertsburg Substation 3 TX-001,F420,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,18.1,0.365,0.804,0.611,65.6,0,POLE-HBG-00019,-24.0077,29.94307,2000,2008,3,2026-03-05,2026-04-11
T0020,Xihoko Substation 3 TX-002,F226,Xihoko,SS-XHK-03,Xihoko Substation 3,7.2,0.721,0.346,0.477,64.3,1,POLE-XHK-00020,-23.73312,30.37687,50,2019,1,2025-07-21,2025-10-22
T0021,Tzaneen Substation 2 TX-001,F251,Tzaneen,SS-TZN-02,Tzaneen Substation 2,26.0,0.78,0.5,0.469,70.3,1,POLE-TZN-00021,-23.80165,30.18809,100,2000,3,2026-04-27,2025-12-05
T0022,Ga-Kgapane Substation 2 TX-001,F186,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,9.6,0.505,0.498,0.531,61.1,0,POLE-GKG-00022,-23.84092,30.35469,1600,2016,0,2026-07-12,2025-09-09
T0023,Politsi Substation 2 TX-003,F092,Politsi,SS-PLT-02,Politsi Substation 2,1.3,0.579,0.806,0.574,55.0,0,POLE-PLT-00023,-23.83844,30.02946,1000,2025,0,2026-04-18,2025-05-25
T0024,Xihoko Substation 1 TX-003,F464,Xihoko,SS-XHK-01,Xihoko Substation 1,35.0,0.52,0.666,0.704,56.3,0,POLE-XHK-00024,-23.78272,30.36982,1000,1991,4,2026-04-24,2025-03-09
T0025,Politsi Substation 1 TX-002,F391,Politsi,SS-PLT-01,Politsi Substation 1,11.8,0.405,0.935,0.846,52.0,0,POLE-PLT-00025,-23.79511,30.06525,200,2014,2,2026-06-29,2024-12-10
T0026,Modjadjiskloof Substation 3 TX-001,F322,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,20.3,0.267,0.831,0.758,51.0,0,POLE-MDK-00026,-23.71059,30.11778,500,2006,0,2026-05-11,2024-03-31
T0027,Ga-Kgapane Substation 1 TX-001,F202,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,2.3,0.198,0.192,0.335,41.4,0,POLE-GKG-00027,-23.84281,30.30293,800,2024,1,2025-08-23,2026-04-30
T0028,Nkowankowa Substation 1 TX-002,F412,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,6.3,0.779,0.304,0.431,59.6,0,POLE-NKW-00028,-23.90884,30.24435,800,2020,1,2025-10-29,2025-07-15
T0029,Nkowankowa Substation 2 TX-001,F273,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,8.8,0.495,0.345,0.529,54.7,0,POLE-NKW-00029,-23.94896,30.25451,1600,2017,2,2026-04-27,2026-06-13
T0030,Tzaneen Substation 3 TX-001,F222,Tzaneen,SS-TZN-03,Tzaneen Substation 3,3.7,0.901,0.783,0.825,49.2,0,POLE-TZN-00030,-23.82305,30.19607,315,2022,0,2026-05-31,2025-12-15
T0031,Xihoko Substation 3 TX-003,F226,Xihoko,SS-XHK-03,Xihoko Substation 3,9.4,0.433,0.729,0.65,48.8,0,POLE-XHK-00031,-23.7119,30.37717,1600,2017,0,2026-06-22,2025-07-26
T0032,Xihoko Substation 2 TX-002,F114,Xihoko,SS-XHK-02,Xihoko Substation 2,8.1,0.331,0.589,0.463,48.1,0,POLE-XHK-00032,-23.80222,30.302,200,2018,0,2026-05-14,2026-05-04
T0033,Lenyenye Substation 3 TX-002,F047,Lenyenye,SS-LNY-03,Lenyenye Substation 3,24.2,0.574,0.773,0.609,66.1,0,POLE-LNY-00033,-23.95756,30.30226,1000,2002,1,2026-04-26,2024-05-10
T0034,Modjadjiskloof Substation 1 TX-001,F278,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,1.2,0.314,0.683,0.555,42.2,0,POLE-MDK-00034,-23.72668,30.12584,50,2025,0,2026-04-19,2026-05-06
T0035,Haenertsburg Substation 1 TX-002,F444,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,16.4,0.779,0.78,0.783,50.4,0,POLE-HBG-00035,-23.95559,29.95376,100,2010,1,2026-04-19,2026-05-05
T0036,Tzaneen Substation 2 TX-002,F032,Tzaneen,SS-TZN-02,Tzaneen Substation 2,21.3,0.604,0.778,0.826,55.0,0,POLE-TZN-00036,-23.79492,30.17943,50,2005,1,2026-04-20,2025-09-29
T0037,Lenyenye Substation 1 TX-002,F430,Lenyenye,SS-LNY-01,Lenyenye Substation 1,35.0,0.268,0.483,0.387,61.2,0,POLE-LNY-00037,-23.96529,30.25917,100,1991,3,2026-06-01,2025-06-27
T0038,Lenyenye Substation 2 TX-001,F414,Lenyenye,SS-LNY-02,Lenyenye Substation 2,18.5,0.259,0.755,0.661,44.4,0,POLE-LNY-00038,-23.93233,30.25233,500,2007,1,2026-02-25,2025-09-20
T0039,Tzaneen Substation 1 TX-003,F139,Tzaneen,SS-TZN-01,Tzaneen Substation 1,5.2,0.438,0.727,0.53,55.1,0,POLE-TZN-00039,-23.82772,30.16932,1600,2021,2,2026-01-31,2026-07-16
T0040,Tzaneen Substation 3 TX-002,F316,Tzaneen,SS-TZN-03,Tzaneen Substation 3,9.2,0.457,0.867,0.889,49.6,0,POLE-TZN-00040,-23.8333,30.19183,50,2017,0,2026-05-16,2025-11-24
T0041,Xihoko Substation 1 TX-004,F083,Xihoko,SS-XHK-01,Xihoko Substation 1,13.3,0.259,0.368,0.319,49.1,0,POLE-XHK-00041,-23.78259,30.37394,800,2013,0,2024-12-23,2025-06-22
T0042,Nkowankowa Substation 1 TX-003,F380,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,26.5,0.954,0.79,0.783,62.4,0,POLE-NKW-00042,-23.90149,30.24589,100,1999,1,2026-04-12,2026-03-21
T0043,Politsi Substation 2 TX-004,F351,Politsi,SS-PLT-02,Politsi Substation 2,2.0,0.27,0.432,0.548,42.8,0,POLE-PLT-00043,-23.8359,30.03316,100,2024,1,2026-06-22,2026-05-31
T0044,Xihoko Substation 2 TX-003,F178,Xihoko,SS-XHK-02,Xihoko Substation 2,16.4,0.523,0.414,0.323,54.9,0,POLE-XHK-00044,-23.7912,30.30814,50,2010,2,2026-04-27,2025-09-19
T0045,Tzaneen Substation 3 TX-003,F034,Tzaneen,SS-TZN-03,Tzaneen Substation 3,2.6,0.45,0.564,0.467,47.9,0,POLE-TZN-00045,-23.82505,30.1967,800,2023,2,2026-05-13,2025-04-02
T0046,Haenertsburg Substation 1 TX-003,F486,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,7.1,0.264,0.354,0.422,48.8,0,POLE-HBG-00046,-23.9504,29.96449,800,2019,1,2026-07-10,2024-11-14
T0047,Modjadjiskloof Substation 2 TX-001,F223,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,3.3,0.216,0.659,0.614,43.2,0,POLE-MDK-00047,-23.77658,30.13852,200,2023,2,2026-05-14,2026-01-17
T0048,Ga-Kgapane Substation 2 TX-002,F447,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,6.2,0.813,0.411,0.526,59.9,0,POLE-GKG-00048,-23.85553,30.36598,1000,2020,0,2025-12-30,2024-11-11
T0049,Nkowankowa Substation 2 TX-002,F339,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,19.2,0.403,0.526,0.539,52.8,0,POLE-NKW-00049,-23.94557,30.25088,315,2007,2,2025-12-27,2026-06-05
T0050,Modjadjiskloof Substation 3 TX-002,F390,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,8.3,0.336,0.782,0.632,47.3,0,POLE-MDK-00050,-23.71296,30.13033,1000,2018,0,2025-11-16,2025-06-08
T0051,Nkowankowa Substation 1 TX-004,F380,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,5.8,0.445,0.528,0.518,56.3,0,POLE-NKW-00051,-23.90488,30.23928,500,2020,1,2026-02-28,2025-11-14
T0052,Lenyenye Substation 2 TX-002,F098,Lenyenye,SS-LNY-02,Lenyenye Substation 2,5.1,0.766,0.43,0.466,47.1,0,POLE-LNY-00052,-23.93754,30.26041,2000,2021,1,2026-01-15,2026-06-05
T0053,Bolobedu Substation 3 TX-001,F182,Bolobedu,SS-BLB-03,Bolobedu Substation 3,4.1,0.358,0.289,0.415,50.5,1,POLE-BLB-00053,-23.98447,30.4592,1000,2022,0,2026-05-11,2024-11-24
T0054,Politsi Substation 3 TX-001,F234,Politsi,SS-PLT-03,Politsi Substation 3,18.3,0.519,0.394,0.439,54.6,1,POLE-PLT-00054,-23.82486,30.07134,2000,2008,0,2026-01-26,2025-10-22
T0055,Haenertsburg Substation 2 TX-002,F249,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,11.4,0.691,0.601,0.384,68.1,0,POLE-HBG-00055,-23.99252,29.9221,2000,2015,0,2026-03-20,2025-01-25
T0056,Tzaneen Substation 2 TX-003,F022,Tzaneen,SS-TZN-02,Tzaneen Substation 2,14.2,0.571,0.287,0.434,63.4,0,POLE-TZN-00056,-23.80553,30.18708,100,2012,3,2026-04-21,2025-11-11
T0057,Ga-Kgapane Substation 3 TX-003,F274,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,3.0,0.489,0.864,0.773,48.6,0,POLE-GKG-00057,-23.8663,30.3747,315,2023,2,2025-12-06,2026-01-30
T0058,Bolobedu Substation 2 TX-001,F078,Bolobedu,SS-BLB-02,Bolobedu Substation 2,11.4,0.808,0.931,0.79,52.2,0,POLE-BLB-00058,-23.95335,30.3632,315,2015,1,2026-07-09,2026-03-24
T0059,Nkowankowa Substation 3 TX-002,F372,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,1.1,0.225,0.446,0.585,42.4,0,POLE-NKW-00059,-23.91217,30.27052,800,2025,1,2026-03-30,2025-11-18
T0060,Modjadjiskloof Substation 1 TX-002,F342,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,24.1,0.357,0.684,0.629,58.8,0,POLE-MDK-00060,-23.73086,30.11621,800,2002,2,2025-12-20,2025-09-03
T0061,Bolobedu Substation 3 TX-002,F462,Bolobedu,SS-BLB-03,Bolobedu Substation 3,16.3,0.889,0.434,0.575,53.2,0,POLE-BLB-00061,-23.98789,30.44757,500,2010,0,2026-06-05,2025-12-05
T0062,Tzaneen Substation 3 TX-004,F373,Tzaneen,SS-TZN-03,Tzaneen Substation 3,10.2,0.714,0.655,0.69,56.2,0,POLE-TZN-00062,-23.82335,30.18739,50,2016,2,2026-05-29,2026-05-15
T0063,Nkowankowa Substation 2 TX-003,F184,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,0.9,0.437,0.701,0.715,46.3,0,POLE-NKW-00063,-23.94201,30.24224,500,2025,1,2026-02-25,2025-10-19
T0064,Bolobedu Substation 2 TX-002,F484,Bolobedu,SS-BLB-02,Bolobedu Substation 2,4.9,0.549,0.448,0.562,43.8,0,POLE-BLB-00064,-23.95616,30.36235,100,2021,3,2026-01-11,2025-08-30
T0065,Xihoko Substation 1 TX-005,F206,Xihoko,SS-XHK-01,Xihoko Substation 1,3.2,0.661,0.448,0.652,53.8,0,POLE-XHK-00065,-23.78216,30.37469,2000,2023,2,2026-04-17,2026-05-15
T0066,Ga-Kgapane Substation 2 TX-003,F163,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,9.8,0.839,0.751,0.788,56.7,0,POLE-GKG-00066,-23.8351,30.35545,1600,2016,1,2026-04-16,2026-04-04
T0067,Lenyenye Substation 2 TX-003,F453,Lenyenye,SS-LNY-02,Lenyenye Substation 2,14.6,0.584,0.971,0.717,61.6,0,POLE-LNY-00067,-23.92986,30.24439,100,2011,0,2026-05-26,2026-05-25
T0068,Ga-Kgapane Substation 2 TX-004,F186,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,14.0,0.462,0.574,0.637,51.1,0,POLE-GKG-00068,-23.84884,30.34968,315,2012,2,2026-01-19,2025-11-26
T0069,Modjadjiskloof Substation 2 TX-002,F039,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,29.8,0.309,0.405,0.571,61.3,0,POLE-MDK-00069,-23.7686,30.13405,800,1996,2,2025-12-12,2025-06-25
T0070,Ga-Kgapane Substation 1 TX-002,F235,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,10.8,0.818,0.913,0.683,59.9,0,POLE-GKG-00070,-23.8351,30.30415,500,2015,0,2026-02-03,2025-09-06
T0071,Politsi Substation 3 TX-002,F398,Politsi,SS-PLT-03,Politsi Substation 3,25.1,0.64,0.757,0.539,51.4,1,POLE-PLT-00071,-23.84446,30.08348,100,2001,2,2025-12-25,2026-05-31
T0072,Lenyenye Substation 2 TX-004,F095,Lenyenye,SS-LNY-02,Lenyenye Substation 2,8.8,0.865,0.562,0.558,58.5,0,POLE-LNY-00072,-23.93753,30.26203,1000,2017,0,2026-03-19,2025-11-17
T0073,Modjadjiskloof Substation 2 TX-003,F232,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,15.9,0.303,0.313,0.423,55.0,0,POLE-MDK-00073,-23.76686,30.13094,2000,2010,2,2026-06-10,2026-04-05
T0074,Haenertsburg Substation 1 TX-004,F065,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,9.5,0.558,0.545,0.549,42.3,0,POLE-HBG-00074,-23.94762,29.95339,1600,2016,1,2026-06-02,2026-05-16
T0075,Politsi Substation 2 TX-005,F344,Politsi,SS-PLT-02,Politsi Substation 2,13.7,0.739,0.703,0.718,60.9,0,POLE-PLT-00075,-23.82567,30.01765,315,2012,1,2026-06-04,2025-12-26
T0076,Modjadjiskloof Substation 1 TX-003,F238,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,10.9,0.799,0.776,0.692,58.1,0,POLE-MDK-00076,-23.72893,30.12358,1600,2015,1,2026-05-15,2026-03-04
T0077,Ga-Kgapane Substation 3 TX-004,F166,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,6.5,0.716,0.574,0.715,53.2,0,POLE-GKG-00077,-23.87226,30.37698,1600,2019,2,2026-04-07,2024-10-17
T0078,Xihoko Substation 2 TX-004,F114,Xihoko,SS-XHK-02,Xihoko Substation 2,14.1,0.543,0.63,0.462,61.7,0,POLE-XHK-00078,-23.78887,30.31735,2000,2012,3,2026-06-16,2024-02-14
T0079,Haenertsburg Substation 2 TX-003,F283,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,16.6,0.892,0.732,0.683,61.3,0,POLE-HBG-00079,-23.97465,29.92856,1600,2009,1,2026-07-18,2025-08-09
T0080,Haenertsburg Substation 2 TX-004,F335,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,18.7,0.62,0.258,0.476,62.5,1,POLE-HBG-00080,-23.97992,29.92956,200,2007,1,2026-01-14,2026-02-06
T0081,Ga-Kgapane Substation 1 TX-003,F471,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,12.9,0.776,0.831,0.873,59.4,0,POLE-GKG-00081,-23.83371,30.30125,500,2013,0,2026-05-15,2026-07-03
T0082,Xihoko Substation 3 TX-004,F219,Xihoko,SS-XHK-03,Xihoko Substation 3,0.9,0.828,0.474,0.517,55.7,0,POLE-XHK-00082,-23.72278,30.37797,800,2025,2,2025-07-17,2026-02-19
T0083,Lenyenye Substation 1 TX-003,F081,Lenyenye,SS-LNY-01,Lenyenye Substation 1,14.6,0.603,0.372,0.455,50.6,1,POLE-LNY-00083,-23.96764,30.27474,1600,2011,0,2026-05-16,2025-03-24
T0084,Haenertsburg Substation 2 TX-005,F417,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,3.9,0.764,0.577,0.552,55.5,0,POLE-HBG-00084,-23.97744,29.92213,100,2022,3,2025-09-27,2026-01-27
T0085,Politsi Substation 3 TX-003,F315,Politsi,SS-PLT-03,Politsi Substation 3,12.4,0.596,0.592,0.709,54.1,0,POLE-PLT-00085,-23.83093,30.07857,50,2014,0,2026-06-11,2026-06-10
T0086,Politsi Substation 2 TX-006,F351,Politsi,SS-PLT-02,Politsi Substation 2,13.7,0.742,0.746,0.698,62.5,0,POLE-PLT-00086,-23.83229,30.02595,2000,2012,4,2026-05-09,2024-12-19
T0087,Haenertsburg Substation 2 TX-006,F049,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,2.1,0.213,0.629,0.556,40.2,0,POLE-HBG-00087,-23.97852,29.91602,1000,2024,0,2026-04-20,2026-04-03
T0088,Bolobedu Substation 1 TX-002,F157,Bolobedu,SS-BLB-01,Bolobedu Substation 1,11.3,0.943,0.586,0.597,57.9,1,POLE-BLB-00088,-23.96468,30.35356,200,2015,0,2026-07-05,2026-03-26
T0089,Tzaneen Substation 3 TX-005,F384,Tzaneen,SS-TZN-03,Tzaneen Substation 3,3.0,0.288,0.828,0.867,33.6,0,POLE-TZN-00089,-23.82067,30.18492,2000,2023,0,2026-04-28,2025-06-17
T0090,Haenertsburg Substation 2 TX-007,F417,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,0.8,0.52,0.844,0.807,50.6,0,POLE-HBG-00090,-23.98599,29.93919,315,2025,1,2026-06-19,2025-12-16
T0091,Bolobedu Substation 1 TX-003,F218,Bolobedu,SS-BLB-01,Bolobedu Substation 1,2.9,0.935,0.476,0.473,61.2,0,POLE-BLB-00091,-23.96175,30.35561,800,2023,1,2025-11-25,2025-08-30
T0092,Ga-Kgapane Substation 1 TX-004,F403,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,10.3,0.409,0.342,0.47,59.6,0,POLE-GKG-00092,-23.83948,30.30722,2000,2016,1,2025-12-28,2025-08-23
T0093,Haenertsburg Substation 1 TX-005,F421,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,9.8,0.854,0.783,0.644,66.8,0,POLE-HBG-00093,-23.94484,29.96585,1600,2016,1,2026-04-12,2026-04-25
T0094,Tzaneen Substation 1 TX-004,F194,Tzaneen,SS-TZN-01,Tzaneen Substation 1,7.5,0.493,0.379,0.513,48.4,0,POLE-TZN-00094,-23.82541,30.16321,800,2018,1,2026-05-10,2025-06-20
T0095,Modjadjiskloof Substation 2 TX-004,F450,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,16.2,0.412,0.301,0.542,50.9,0,POLE-MDK-00095,-23.77133,30.13019,500,2010,1,2026-06-13,2025-03-07
T0096,Lenyenye Substation 2 TX-005,F145,Lenyenye,SS-LNY-02,Lenyenye Substation 2,9.4,0.621,0.598,0.641,53.1,0,POLE-LNY-00096,-23.93501,30.2704,200,2017,0,2025-10-14,2025-11-23
T0097,Tzaneen Substation 2 TX-004,F120,Tzaneen,SS-TZN-02,Tzaneen Substation 2,14.7,0.579,0.885,0.745,57.2,0,POLE-TZN-00097,-23.81053,30.1956,100,2011,1,2026-01-16,2026-02-01
T0098,Modjadjiskloof Substation 1 TX-004,F342,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,18.6,0.537,0.624,0.726,48.9,0,POLE-MDK-00098,-23.72648,30.11645,50,2007,1,2026-05-28,2025-03-03
T0099,Bolobedu Substation 1 TX-004,F319,Bolobedu,SS-BLB-01,Bolobedu Substation 1,35.0,0.525,0.51,0.595,70.1,0,POLE-BLB-00099,-23.96729,30.36221,50,1991,1,2026-01-03,2025-05-09
T0100,Politsi Substation 2 TX-007,F070,Politsi,SS-PLT-02,Politsi Substation 2,10.4,0.729,0.924,0.799,55.9,0,POLE-PLT-00100,-23.83967,30.02708,500,2016,3,2026-06-29,2026-04-27
T0101,Haenertsburg Substation 2 TX-008,F417,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,24.1,0.579,0.802,0.759,53.9,0,POLE-HBG-00101,-23.97569,29.92737,315,2002,3,2026-06-16,2025-08-20
T0102,Haenertsburg Substation 3 TX-002,F100,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,13.1,0.397,0.607,0.395,50.1,0,POLE-HBG-00102,-24.00656,29.94073,800,2013,3,2026-04-22,2025-11-10
T0103,Ga-Kgapane Substation 1 TX-005,F403,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,13.7,0.763,0.462,0.621,62.0,0,POLE-GKG-00103,-23.83655,30.28933,500,2012,1,2026-02-22,2025-10-12
T0104,Nkowankowa Substation 3 TX-003,F004,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,10.5,0.881,0.302,0.354,75.7,1,POLE-NKW-00104,-23.92882,30.26331,1000,2016,2,2026-06-16,2023-12-28
T0105,Bolobedu Substation 3 TX-003,F399,Bolobedu,SS-BLB-03,Bolobedu Substation 3,12.3,0.837,0.634,0.722,57.4,0,POLE-BLB-00105,-23.98947,30.44581,100,2014,0,2026-07-16,2026-06-12
T0106,Politsi Substation 2 TX-008,F394,Politsi,SS-PLT-02,Politsi Substation 2,9.4,0.443,0.397,0.596,52.3,0,POLE-PLT-00106,-23.83189,30.0322,100,2017,1,2026-05-27,2026-07-03
T0107,Politsi Substation 1 TX-003,F391,Politsi,SS-PLT-01,Politsi Substation 1,21.4,0.686,0.582,0.615,59.9,1,POLE-PLT-00107,-23.78974,30.06304,100,2005,1,2026-04-28,2026-03-09
T0108,Haenertsburg Substation 3 TX-003,F333,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,6.2,0.527,0.712,0.677,50.3,1,POLE-HBG-00108,-24.01497,29.92513,1000,2020,1,2026-07-02,2026-01-15
T0109,Bolobedu Substation 2 TX-003,F236,Bolobedu,SS-BLB-02,Bolobedu Substation 2,2.9,0.229,0.627,0.562,39.5,0,POLE-BLB-00109,-23.94105,30.37651,2000,2023,1,2026-05-23,2026-03-21
T0110,Modjadjiskloof Substation 3 TX-003,F353,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,7.3,0.338,0.695,0.628,45.2,0,POLE-MDK-00110,-23.70442,30.1258,315,2019,0,2026-05-26,2025-07-28
T0111,Tzaneen Substation 1 TX-005,F139,Tzaneen,SS-TZN-01,Tzaneen Substation 1,6.7,0.363,0.449,0.46,62.0,0,POLE-TZN-00111,-23.81958,30.16422,100,2019,0,2025-05-19,2025-07-08
T0112,Politsi Substation 1 TX-004,F391,Politsi,SS-PLT-01,Politsi Substation 1,7.3,0.586,0.298,0.404,56.5,0,POLE-PLT-00112,-23.78839,30.06654,2000,2019,2,2026-01-26,2025-10-03
T0113,Modjadjiskloof Substation 1 TX-005,F278,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,10.1,0.843,0.515,0.55,52.9,0,POLE-MDK-00113,-23.72259,30.11463,200,2016,0,2026-03-26,2025-09-04
T0114,Lenyenye Substation 2 TX-006,F230,Lenyenye,SS-LNY-02,Lenyenye Substation 2,7.4,0.375,0.305,0.429,54.2,0,POLE-LNY-00114,-23.94168,30.26221,800,2019,1,2026-04-17,2025-08-10
T0115,Ga-Kgapane Substation 2 TX-005,F253,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,10.0,0.726,0.302,0.338,67.5,0,POLE-GKG-00115,-23.84522,30.35307,1600,2016,3,2025-08-29,2024-06-03
