meter_id,declared_kwh,transformer_feed_estimate_kwh,historical_avg_kwh,pct_drop_recent,night_usage_ratio,area_theft_history_rate,meter_reversal_events_6mo,zero_consumption_days_90d,tamper_alarm_count,confirmed_incidents_nearby_12mo,feeder_id,cnc,substation_id,substation_name,meter_lat,meter_lon,is_theft
M00012,115.7,129.9,112.9,0.155,0.256,0.078,0,0,0,2,F113,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92796,30.26367,0
M00013,87.1,126.8,70.0,0.438,0.439,0.033,2,3,0,0,F424,Politsi,SS-PLT-03,Politsi Substation 3,-23.83189,30.07501,1
M00014,40.8,55.7,31.1,0.33,0.637,0.15,1,7,0,2,F376,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.9205,30.25809,0
M00015,113.3,102.8,126.3,0.041,0.242,0.059,0,0,0,1,F190,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79269,30.30259,0
M00016,123.8,122.6,124.0,0.068,0.146,0.031,0,0,0,0,F132,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.91079,30.25151,0
M00017,178.7,148.0,178.3,0.039,0.317,0.073,0,0,0,2,F137,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.83389,30.15963,0
M00018,136.9,125.7,129.5,0.0,0.148,0.129,0,1,0,2,F210,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.90249,30.24308,0
M00019,147.2,159.2,154.4,0.0,0.253,0.025,0,0,0,1,F320,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86339,30.37941,0
M00020,78.2,79.2,77.0,0.0,0.283,0.059,0,0,0,0,F226,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71828,30.38165,0
M00021,130.1,138.8,134.9,0.127,0.205,0.068,0,1,0,0,F074,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.91015,30.24438,0
M00022,81.8,84.9,80.5,0.087,0.23,0.028,0,1,0,1,F478,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.94235,30.26272,0
M00023,115.9,152.0,96.6,0.289,0.194,0.269,0,2,0,4,F195,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.95037,30.27007,1
M00024,112.4,123.3,119.9,0.004,0.109,0.096,1,1,0,2,F446,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95901,30.30885,1
M00025,65.0,91.2,75.6,0.353,0.498,0.045,1,6,2,2,F095,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.94228,30.26829,1
M00026,97.6,82.9,108.7,0.197,0.126,0.048,0,0,0,2,F140,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.98079,30.45264,0
M00027,113.4,113.9,125.6,0.389,0.461,0.192,1,4,1,3,F389,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.98098,30.45777,1
M00028,216.6,197.4,211.4,0.153,0.222,0.195,0,1,1,0,F140,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.97858,30.45815,0
M00029,153.2,155.5,155.5,0.045,0.282,0.028,0,0,0,2,F448,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.79257,30.37469,0
M00030,119.5,105.7,107.2,0.012,0.274,0.243,0,0,0,5,F211,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.98886,30.44838,0
M00031,62.6,62.1,65.3,0.063,0.131,0.1,0,0,0,2,F229,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86329,30.38081,0
M00032,105.5,124.7,116.2,0.177,0.515,0.19,1,4,2,4,F003,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96662,30.27097,1
M00033,97.9,102.9,91.3,0.0,0.356,0.034,0,0,0,0,F212,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00347,29.92539,0
M00034,182.4,200.6,169.7,0.0,0.222,0.064,0,0,0,4,F155,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95039,30.37417,1
M00035,91.7,89.8,84.7,0.086,0.23,0.117,0,0,0,5,F274,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86856,30.37174,0
M00036,169.2,181.1,171.4,0.0,0.183,0.061,0,0,0,1,F476,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.79686,30.18949,0
M00037,64.2,71.0,72.4,0.157,0.271,0.078,0,0,0,2,F008,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.83046,30.16764,0
M00038,144.2,127.4,139.7,0.0,0.315,0.081,0,0,0,1,F420,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-23.9977,29.92677,0
M00039,128.1,125.6,124.2,0.05,0.201,0.085,0,1,0,2,F200,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.70421,30.11496,0
M00040,35.5,74.3,40.3,0.167,0.601,0.082,2,4,0,1,F268,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.97103,30.35499,1
M00041,154.8,156.2,144.4,0.072,0.384,0.033,0,0,0,0,F236,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95261,30.37142,0
M00042,371.5,398.8,377.6,0.161,0.189,0.066,0,0,0,1,F243,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.85473,30.36618,0
M00043,61.4,58.1,68.8,0.061,0.285,0.045,0,0,0,3,F413,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.9584,30.25904,0
M00044,136.0,140.3,149.1,0.11,0.25,0.067,0,0,0,1,F473,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.84725,30.35558,0
M00045,90.1,67.6,88.1,0.064,0.257,0.076,0,0,0,1,F495,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.91083,30.23572,0
M00046,61.7,75.3,66.0,0.112,0.279,0.281,0,1,0,6,F297,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82505,30.1663,0
M00047,157.4,130.7,157.8,0.1,0.308,0.029,0,0,0,1,F351,Politsi,SS-PLT-02,Politsi Substation 2,-23.83005,30.02624,0
M00048,97.6,93.1,98.4,0.068,0.258,0.17,0,1,0,2,F472,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.94689,30.27665,0
M00049,117.6,84.5,130.0,0.034,0.21,0.154,0,0,0,3,F467,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82407,30.1591,0
M00050,128.2,143.6,129.3,0.194,0.203,0.038,0,0,0,1,F499,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95508,30.3631,0
M00051,107.1,128.8,104.9,0.088,0.304,0.05,0,0,0,0,F024,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.79941,30.19076,0
M00052,101.1,106.4,110.0,0.023,0.16,0.12,0,0,0,0,F017,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95963,30.2941,0
M00053,182.1,200.0,190.3,0.065,0.335,0.165,0,1,0,1,F291,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.93836,30.26451,0
M00054,92.6,90.6,89.0,0.114,0.147,0.284,0,0,0,6,F060,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.94017,30.2653,0
M00055,88.8,91.6,102.5,0.063,0.09,0.141,0,0,0,3,F432,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.98037,30.45082,0
M00056,138.0,128.5,135.7,0.108,0.148,0.091,0,1,0,1,F381,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.97065,29.92756,0
M00057,90.2,105.8,105.5,0.069,0.017,0.066,0,0,0,3,F064,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.98094,29.91853,0
M00058,143.3,129.8,138.0,0.0,0.166,0.153,0,0,0,3,F064,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.98593,29.92817,0
M00059,128.6,137.0,118.0,0.091,0.201,0.101,0,0,0,1,F053,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.90246,30.25045,0
M00060,158.5,174.5,144.0,0.096,0.204,0.109,0,0,0,4,F171,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.9861,30.43604,0
M00061,239.9,253.1,225.4,0.148,0.24,0.038,0,0,0,0,F423,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.71466,30.12702,0
M00062,169.6,165.2,172.0,0.01,0.352,0.051,0,0,0,1,F151,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80199,30.19134,0
M00063,105.5,104.2,102.8,0.078,0.272,0.129,0,0,0,3,F353,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.71029,30.11042,0
M00064,146.7,191.1,129.3,0.453,0.577,0.02,1,4,2,1,F276,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93595,30.26552,1
M00065,120.8,129.5,120.1,0.104,0.159,0.103,0,0,0,2,F302,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,-23.95206,29.95949,0
M00066,89.1,77.1,85.0,0.007,0.236,0.145,0,0,0,5,F026,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.77382,30.37899,0
M00067,126.1,111.7,116.8,0.069,0.107,0.033,0,0,0,1,F339,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94723,30.24979,0
M00068,89.8,78.5,80.4,0.322,0.496,0.301,0,4,0,6,F226,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71124,30.37109,1
M00069,100.8,99.7,117.2,0.01,0.221,0.042,0,1,0,1,F070,Politsi,SS-PLT-02,Politsi Substation 2,-23.83572,30.01877,0
M00070,112.5,115.7,117.6,0.067,0.277,0.035,0,0,0,1,F278,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72153,30.11921,0
M00071,226.4,251.7,227.5,0.039,0.195,0.123,0,0,0,1,F305,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.9662,30.27428,0
M00072,99.4,116.3,88.5,0.0,0.316,0.02,0,0,0,0,F060,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93951,30.25795,0
M00073,104.0,158.8,105.8,0.17,0.538,0.036,2,2,3,0,F251,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80912,30.19482,1
M00074,54.0,54.3,46.1,0.029,0.217,0.189,0,0,0,2,F171,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.97413,30.45291,0
M00075,70.2,90.1,65.3,0.018,0.194,0.129,0,0,0,0,F377,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.96244,30.30956,0
M00076,88.0,84.3,87.5,0.032,0.199,0.109,0,1,0,1,F253,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.84279,30.35507,0
M00077,307.7,304.0,317.2,0.0,0.252,0.02,0,0,0,0,F017,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.96476,30.30569,1
M00078,85.4,83.3,91.3,0.122,0.238,0.025,0,1,0,0,F152,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95241,30.37071,0
M00079,38.1,54.7,43.6,0.436,0.346,0.172,1,5,2,5,F282,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.89662,30.24377,1
M00080,89.7,93.6,102.1,0.046,0.101,0.055,0,0,1,2,F209,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.79965,30.19182,0
M00081,82.7,73.8,83.5,0.076,0.274,0.089,0,1,0,2,F134,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.72042,30.37443,0
M00082,146.8,143.9,153.0,0.149,0.28,0.03,0,0,0,0,F208,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.97977,29.92519,0
M00083,127.3,114.5,127.2,0.075,0.131,0.021,0,0,0,1,F164,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95732,30.31599,0
M00084,142.5,100.2,134.9,0.026,0.183,0.039,0,2,0,1,F047,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95565,30.30618,1
M00085,121.2,120.9,116.2,0.06,0.308,0.121,1,1,0,5,F349,Politsi,SS-PLT-02,Politsi Substation 2,-23.8371,30.03289,0
M00086,190.4,183.5,189.2,0.0,0.253,0.061,0,0,0,1,F294,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.70831,30.12511,0
M00087,190.8,209.4,186.6,0.137,0.36,0.089,0,0,0,3,F266,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.97495,29.92706,0
M00088,78.6,93.8,86.8,0.11,0.143,0.086,0,0,0,1,F038,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.26728,0
M00089,97.3,87.5,93.8,0.091,0.186,0.047,0,0,0,0,F335,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.97448,29.93503,0
M00090,125.8,139.4,120.1,0.0,0.168,0.074,0,1,0,2,F291,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94399,30.24942,0
M00091,79.2,76.3,83.2,0.014,0.293,0.121,0,1,0,2,F404,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93712,30.25774,0
M00092,152.1,178.8,151.9,0.031,0.252,0.185,1,1,0,3,F042,Politsi,SS-PLT-02,Politsi Substation 2,-23.828,30.02905,0
M00093,39.3,43.1,36.1,0.0,0.352,0.02,1,0,0,0,F163,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.85007,30.35229,0
M00094,62.9,57.7,63.8,0.112,0.199,0.056,0,1,0,5,F270,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.79638,30.19681,0
M00095,132.5,139.6,127.7,0.034,0.224,0.06,0,0,0,0,F066,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,-23.83776,30.3073,0
M00096,312.5,285.6,311.6,0.112,0.382,0.177,0,1,0,3,F426,Politsi,SS-PLT-02,Politsi Substation 2,-23.83099,30.02999,0
M00097,205.9,212.5,202.4,0.011,0.285,0.045,0,0,0,0,F123,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.70928,30.12683,0
M00098,138.0,145.0,139.9,0.081,0.326,0.038,0,0,0,0,F145,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.94036,30.25908,0
M00099,138.0,156.7,146.2,0.092,0.253,0.054,1,0,0,0,F195,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.95804,30.27391,0
M00100,66.6,52.3,64.8,0.101,0.207,0.098,0,0,0,1,F042,Politsi,SS-PLT-02,Politsi Substation 2,-23.83344,30.02673,0
M00101,93.2,105.5,100.0,0.116,0.335,0.122,0,0,0,4,F088,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.93887,30.25552,0
M00102,177.3,153.9,182.0,0.044,0.336,0.237,0,0,0,5,F161,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80953,30.18677,0
M00103,115.9,111.4,124.3,0.075,0.148,0.153,0,0,0,3,F104,Politsi,SS-PLT-03,Politsi Substation 3,-23.8305,30.06983,0
M00104,94.5,91.1,93.0,0.0,0.16,0.046,0,0,0,2,F213,Politsi,SS-PLT-03,Politsi Substation 3,-23.82582,30.08505,0
M00105,101.3,97.8,103.7,0.124,0.149,0.042,0,1,0,2,F321,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71616,30.37231,0
M00106,64.9,106.0,56.0,0.116,0.363,0.148,1,2,0,5,F307,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77607,30.13021,1
M00107,95.5,84.0,102.0,0.003,0.36,0.02,0,0,0,0,F435,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94266,30.24141,0
M00108,162.9,162.8,159.0,0.0,0.0,0.02,0,0,0,0,F076,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.72004,30.3701,0
M00109,232.4,253.7,235.6,0.021,0.256,0.04,0,0,0,0,F321,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71097,30.37385,0
M00110,30.7,27.7,32.0,0.14,0.296,0.108,1,0,0,1,F002,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.94014,30.26638,0
M00111,150.5,123.0,146.2,0.018,0.242,0.081,0,0,0,0,F003,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.9624,30.2751,0
M00112,192.3,196.6,188.9,0.0,0.057,0.078,0,0,0,2,F422,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82849,30.1634,0
M00113,72.3,87.5,63.8,0.075,0.318,0.167,0,0,0,3,F188,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.91701,30.24799,0
M00114,135.8,156.3,143.2,0.069,0.083,0.154,0,1,0,1,F228,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71923,30.37653,0
M00115,238.8,238.2,253.4,0.04,0.253,0.185,0,0,0,5,F436,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.91176,30.26503,0
M00116,73.5,74.6,74.7,0.026,0.341,0.218,0,0,0,5,F287,Politsi,SS-PLT-03,Politsi Substation 3,-23.83925,30.05917,0
M00117,122.6,118.6,122.1,0.0,0.187,0.157,1,0,0,0,F346,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.9395,30.26385,0
M00118,62.1,62.4,57.7,0.08,0.216,0.061,0,1,0,3,F401,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.7841,30.12459,0
M00119,71.3,79.8,76.6,0.142,0.0,0.2,0,0,0,5,F329,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95083,30.30156,0
M00120,201.1,223.8,192.1,0.015,0.181,0.093,0,0,0,1,F382,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.80431,30.30636,0
M00121,42.2,34.4,42.2,0.033,0.242,0.03,0,0,0,0,F064,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.97894,29.93728,0
M00122,134.7,136.5,130.3,0.056,0.086,0.134,0,0,0,1,F431,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.77943,30.38244,0
M00123,160.2,175.4,166.9,0.0,0.164,0.074,0,0,0,0,F207,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.93205,30.25362,0
M00124,113.7,100.5,125.9,0.074,0.012,0.119,0,0,0,1,F161,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80055,30.18345,0
M00125,64.6,136.0,71.4,0.511,0.644,0.229,1,3,2,7,F083,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.78514,30.37429,1
M00126,182.4,154.9,182.4,0.087,0.315,0.148,0,1,0,5,F097,Tzaneen,SS-TZN-03,Tzaneen Substation 3,-23.83081,30.20476,0
M00127,168.1,203.1,165.8,0.157,0.188,0.238,1,0,0,6,F077,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94254,30.25269,0
M00128,250.3,246.4,255.9,0.018,0.328,0.04,0,0,0,0,F007,Politsi,SS-PLT-01,Politsi Substation 1,-23.78677,30.05496,0
M00129,80.5,79.2,89.3,0.034,0.016,0.083,0,1,0,2,F140,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.98665,30.44236,1
M00130,210.0,201.5,209.3,0.054,0.157,0.083,0,0,0,1,F199,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86856,30.38302,0
M00131,119.9,94.3,136.4,0.059,0.239,0.193,0,1,0,1,F473,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.84786,30.34251,0
M00132,76.4,78.0,82.7,0.017,0.23,0.123,0,1,0,0,F304,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.96827,30.3586,0
M00133,58.6,55.5,59.7,0.145,0.351,0.02,0,0,0,1,F381,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.98114,29.92883,0
M00134,38.8,39.2,35.1,0.017,0.185,0.124,0,0,0,3,F284,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.9873,29.93259,0
M00135,82.9,71.8,61.6,0.055,0.128,0.065,0,2,0,2,F401,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.78419,30.11588,0
M00136,96.5,83.4,103.0,0.0,0.362,0.074,0,0,0,1,F440,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.78149,30.36821,0
M00137,225.9,243.3,223.4,0.039,0.176,0.131,0,0,0,2,F450,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77975,30.11979,0
M00138,257.0,237.9,239.0,0.037,0.15,0.027,0,1,0,0,F414,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.94291,30.2752,0
M00139,104.6,107.2,96.7,0.162,0.313,0.022,0,0,0,0,F348,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.85552,30.35582,0
M00140,108.7,124.1,106.4,0.015,0.302,0.032,0,0,0,0,F249,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.97867,29.94038,0
M00141,66.0,68.4,64.8,0.148,0.0,0.052,0,0,0,2,F086,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.90915,30.26467,0
M00142,89.1,103.0,88.3,0.147,0.322,0.103,0,0,0,6,F062,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.96829,30.34525,0
M00143,355.7,335.0,349.7,0.0,0.171,0.188,1,0,0,4,F470,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.97359,29.93514,0
M00144,56.3,64.4,46.9,0.159,0.145,0.073,0,0,0,0,F251,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80755,30.18921,0
M00145,129.7,134.1,119.7,0.11,0.15,0.046,0,0,0,2,F406,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.70354,30.12418,0
M00146,32.6,31.7,42.4,0.0,0.139,0.046,0,1,0,1,F460,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,-23.94708,29.95268,1
M00147,130.9,158.7,123.7,0.025,0.351,0.02,0,0,0,0,F039,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77427,30.13269,0
M00148,90.4,85.2,91.3,0.065,0.093,0.088,0,0,0,1,F441,Politsi,SS-PLT-03,Politsi Substation 3,-23.82543,30.07205,0
M00149,180.7,179.9,167.0,0.038,0.203,0.02,0,1,0,0,F142,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80938,30.18812,0
M00150,114.5,131.4,110.8,0.0,0.113,0.083,0,0,0,1,F338,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82444,30.16306,0
M00151,170.8,161.5,176.0,0.105,0.201,0.052,0,0,0,0,F230,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93555,30.2661,0
M00152,138.3,175.6,142.9,0.264,0.556,0.055,1,6,0,2,F330,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77867,30.13081,1
M00153,115.1,102.6,116.2,0.079,0.29,0.093,0,0,0,0,F245,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.73122,30.3769,0
M00154,100.1,93.2,112.6,0.159,0.172,0.146,0,0,0,1,F415,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.99222,30.44973,0
M00155,174.3,185.1,180.3,0.064,0.194,0.042,0,1,0,1,F472,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96218,30.26071,0
M00156,145.4,126.7,149.0,0.0,0.232,0.2,0,1,0,2,F344,Politsi,SS-PLT-02,Politsi Substation 2,-23.83899,30.03246,0
M00157,142.6,139.0,122.9,0.094,0.319,0.084,0,0,0,3,F207,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94256,30.24918,0
M00158,202.6,246.1,197.7,0.0,0.18,0.093,0,0,0,1,F313,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.84298,30.35612,1
M00159,110.2,121.0,110.2,0.193,0.249,0.129,0,0,0,0,F083,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.78294,30.37326,0
M00160,55.4,55.4,54.7,0.074,0.449,0.071,0,0,0,0,F201,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,-23.94764,29.96199,0
M00161,126.2,118.0,130.4,0.0,0.247,0.046,0,0,0,0,F372,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92537,30.28167,0
M00162,88.2,91.3,89.3,0.074,0.018,0.106,0,0,0,2,F200,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.7062,30.12111,0
M00163,182.7,182.7,191.3,0.128,0.045,0.059,0,0,0,3,F499,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.94868,30.37026,0
M00164,119.0,106.2,122.6,0.0,0.195,0.028,0,1,0,1,F244,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.84501,30.35123,1
M00165,136.3,173.6,136.7,0.042,0.318,0.032,0,0,0,0,F441,Politsi,SS-PLT-03,Politsi Substation 3,-23.81957,30.0707,0
M00166,71.9,136.7,68.8,0.122,0.331,0.126,0,5,0,3,F441,Politsi,SS-PLT-03,Politsi Substation 3,-23.82473,30.07129,1
M00167,55.7,57.7,50.9,0.199,0.189,0.039,0,1,0,0,F117,Politsi,SS-PLT-01,Politsi Substation 1,-23.78981,30.06498,0
M00168,53.7,77.4,45.8,0.225,0.59,0.039,0,8,0,0,F321,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71863,30.36813,1
M00169,79.7,138.6,75.1,0.469,0.553,0.087,2,5,1,2,F475,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95816,30.30402,1
