feeder_id,cnc,substation_id,substation_name,substation_lat,substation_lon,feeder_age_years,vegetation_encroachment_score,protection_equipment_age,peak_load_pct,load_growth_rate,historical_outage_count_1yr,outage_within_7_days
F025,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00606,29.92924,6.1,0.125,12.4,0.571,0.045,1,0
F026,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.78086,30.36922,9.0,0.24,22.6,0.644,0.05,2,1
F027,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.71307,30.12111,24.8,0.095,5.5,0.356,0.052,2,0
F028,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94244,30.25043,13.8,0.108,12.3,0.835,0.054,1,0
F029,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95219,30.30323,19.6,0.494,6.0,0.409,0.092,2,0
F030,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72032,30.12139,2.0,0.297,5.5,0.625,0.062,1,1
F031,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95219,30.30323,9.7,0.092,7.8,0.743,0.037,0,0
F032,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80663,30.19427,26.2,0.29,5.3,0.253,0.042,3,0
F033,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93689,30.26358,1.5,0.427,18.3,0.329,0.072,1,0
F034,Tzaneen,SS-TZN-03,Tzaneen Substation 3,-23.83198,30.19103,15.9,0.099,7.1,0.849,0.074,2,0
F035,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86441,30.37934,18.9,0.098,4.5,0.307,0.0,3,0
F036,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00606,29.92924,4.2,0.156,13.6,0.421,0.065,1,0
F037,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,-23.94668,29.95869,12.3,0.293,8.4,0.619,0.06,2,0
F038,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,11.5,0.345,21.8,0.385,0.042,2,0
F039,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77781,30.12869,17.5,0.498,19.4,0.361,0.029,2,0
F040,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,28.6,0.51,6.3,0.399,0.108,0,0
F041,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00606,29.92924,12.3,0.088,9.0,0.673,0.059,1,0
F042,Politsi,SS-PLT-02,Politsi Substation 2,-23.83479,30.02693,6.3,0.228,11.6,0.739,0.092,1,0
F043,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.90369,30.24278,6.7,0.331,3.9,0.781,0.001,0,0
F044,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.98757,30.44925,22.4,0.323,2.4,0.428,0.021,1,0
F045,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,20.9,0.09,26.4,0.231,0.057,1,0
F046,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.96267,30.35354,9.2,0.487,14.4,0.694,0.059,2,1
F047,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95219,30.30323,36.0,0.458,30.0,0.422,0.044,0,0
F048,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,37.3,0.289,2.4,0.669,0.031,1,1
F049,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.97976,29.93209,40.0,0.436,6.9,0.264,0.029,0,0
F050,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,10.7,0.119,3.9,0.739,0.036,3,0
F051,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00606,29.92924,6.8,0.266,15.2,0.768,0.03,0,0
F052,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.78086,30.36922,14.6,0.102,10.1,0.127,0.0,1,0
F053,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.90369,30.24278,19.0,0.213,11.6,0.324,0.0,1,0
F054,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.90369,30.24278,5.5,0.106,24.9,0.591,0.033,0,0
F055,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.78086,30.36922,2.5,0.223,7.8,0.574,0.042,2,0
F056,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.84573,30.35349,40.0,0.048,7.6,0.28,0.062,2,0
F057,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72032,30.12139,32.2,0.215,11.8,0.51,0.069,0,0
F058,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,11.5,0.329,30.0,0.67,0.077,0,0
F059,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,31.9,0.471,12.6,0.538,0.018,0,0
F060,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93689,30.26358,39.1,0.583,8.2,0.654,0.046,3,0
F061,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,32.3,0.249,3.8,0.782,0.067,1,0
F062,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.96267,30.35354,4.5,0.572,12.9,0.708,0.037,5,0
F063,Politsi,SS-PLT-01,Politsi Substation 1,-23.79598,30.06514,7.0,0.109,7.2,0.227,0.057,1,0
F064,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,-23.97976,29.93209,16.5,0.285,3.4,0.571,0.075,2,0
F065,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,-23.94668,29.95869,33.4,0.346,5.4,0.615,0.032,0,0
F066,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,-23.83892,30.30076,27.6,0.115,15.4,0.45,0.006,0,0
F067,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,15.1,0.113,14.3,0.499,0.011,1,0
F068,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92055,30.26731,15.6,0.145,16.7,0.631,0.006,1,0
F069,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72032,30.12139,17.5,0.269,12.1,0.555,0.086,0,0
F070,Politsi,SS-PLT-02,Politsi Substation 2,-23.83479,30.02693,13.5,0.183,10.6,0.581,0.004,0,0
F071,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.84573,30.35349,33.8,0.167,1.9,0.194,0.032,2,0
F072,Tzaneen,SS-TZN-03,Tzaneen Substation 3,-23.83198,30.19103,33.2,0.574,8.4,0.485,0.057,1,1
F073,Politsi,SS-PLT-02,Politsi Substation 2,-23.83479,30.02693,14.4,0.157,3.4,0.234,0.016,2,0
F074,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.90369,30.24278,8.2,0.054,4.2,0.244,0.054,4,0
F075,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95046,30.37025,35.8,0.369,5.6,0.624,0.068,2,1
F076,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71922,30.37233,26.9,0.346,3.4,0.367,0.031,0,0
F077,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94244,30.25043,4.8,0.248,8.3,0.934,0.043,1,0
F078,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95046,30.37025,6.4,0.146,3.3,0.636,0.081,1,0
F079,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.90369,30.24278,13.9,0.023,12.6,0.149,0.045,2,0
F080,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,-23.83892,30.30076,12.6,0.496,9.5,0.929,0.053,0,0
F081,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,23.0,0.216,13.2,0.559,0.052,1,0
F082,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72032,30.12139,15.9,0.365,4.4,0.796,0.029,2,0
F083,Xihoko,SS-XHK-01,Xihoko Substation 1,-23.78086,30.36922,19.9,0.6,8.6,0.968,0.057,1,0
F084,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,-23.83892,30.30076,12.6,0.326,2.3,0.513,0.059,0,0
F085,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.96267,30.35354,11.5,0.543,7.5,0.815,0.043,2,1
F086,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92055,30.26731,18.3,0.293,5.8,0.947,0.009,1,0
F087,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95219,30.30323,12.0,0.291,1.8,0.225,0.032,0,0
F088,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94244,30.25043,14.9,0.218,3.9,0.674,0.047,0,0
F089,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,22.6,0.036,24.1,0.853,0.084,2,0
F090,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,40.0,0.311,2.5,0.463,0.026,0,0
F091,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92055,30.26731,12.3,0.582,7.6,0.696,0.011,2,1
F092,Politsi,SS-PLT-02,Politsi Substation 2,-23.83479,30.02693,35.5,0.102,2.8,0.462,0.026,2,0
F093,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86441,30.37934,18.3,0.381,4.7,0.723,0.048,4,0
F094,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95219,30.30323,23.5,0.082,5.0,0.657,0.021,3,0
F095,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93689,30.26358,4.3,0.284,11.4,0.383,0.118,0,0
F096,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,-23.83892,30.30076,1.1,0.369,6.7,0.41,0.055,2,0
F097,Tzaneen,SS-TZN-03,Tzaneen Substation 3,-23.83198,30.19103,33.8,0.051,3.3,0.744,0.062,0,0
F098,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93689,30.26358,14.6,0.098,10.1,0.661,0.007,1,0
F099,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,7.9,0.249,16.9,0.529,0.022,1,0
F100,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00606,29.92924,4.8,0.478,30.0,0.579,0.041,1,0
F101,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86441,30.37934,28.3,0.582,14.3,0.7,0.022,0,0
F102,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95046,30.37025,9.4,0.253,14.9,0.725,0.055,2,0
F103,Tzaneen,SS-TZN-03,Tzaneen Substation 3,-23.83198,30.19103,5.6,0.195,10.6,0.72,0.004,3,0
F104,Politsi,SS-PLT-03,Politsi Substation 3,-23.82921,30.07073,4.8,0.576,7.6,0.252,0.023,1,0
F105,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94244,30.25043,15.6,0.181,10.7,0.555,0.0,0,0
F106,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,21.4,0.564,3.9,0.924,0.07,1,1
F107,Politsi,SS-PLT-01,Politsi Substation 1,-23.79598,30.06514,15.1,0.535,16.9,0.239,0.063,1,0
F108,Politsi,SS-PLT-01,Politsi Substation 1,-23.79598,30.06514,15.1,0.194,3.8,0.414,0.018,2,0
F109,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94244,30.25043,31.8,0.199,10.4,0.552,0.073,1,0
F110,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,-23.83892,30.30076,2.1,0.193,9.4,0.453,0.025,2,0
F111,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.96267,30.35354,13.0,0.219,4.3,0.415,0.027,1,0
F112,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.96267,30.35354,20.2,0.236,3.5,0.625,0.07,0,0
F113,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92055,30.26731,10.3,0.383,9.2,0.443,0.074,4,0
F114,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,17.6,0.229,19.9,0.616,0.105,1,0
F115,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.90369,30.24278,23.9,0.289,2.8,0.64,0.06,3,1
F116,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,17.4,0.202,8.6,0.587,0.0,1,0
F117,Politsi,SS-PLT-01,Politsi Substation 1,-23.79598,30.06514,8.0,0.257,4.9,0.295,0.064,0,0
F118,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95046,30.37025,4.0,0.37,30.0,0.842,0.054,1,0
F119,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,-23.83892,30.30076,12.0,0.511,7.7,0.751,0.057,3,0
F120,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80663,30.19427,28.4,0.394,4.8,0.666,0.058,1,1
F121,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.96267,30.35354,0.6,0.046,18.3,0.421,0.052,0,0
F122,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.71307,30.12111,16.6,0.102,9.4,0.857,0.02,2,0
F123,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.71307,30.12111,8.3,0.058,2.1,0.154,0.034,1,0
F124,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92055,30.26731,36.8,0.105,0.5,0.542,0.06,2,0
F125,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.84573,30.35349,31.4,0.202,10.9,0.574,0.062,0,1
F126,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.96267,30.35354,8.4,0.162,19.5,0.677,0.0,2,0
F127,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77781,30.12869,40.0,0.301,9.4,0.616,0.0,1,0
F128,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86441,30.37934,9.3,0.219,16.2,0.269,0.033,3,0
F129,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,22.7,0.468,10.2,0.697,0.028,0,0
F130,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95219,30.30323,19.8,0.069,5.1,0.279,0.017,1,0
F131,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,24.4,0.492,15.7,0.64,0.074,3,1
F132,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,-23.90369,30.24278,6.3,0.177,20.3,0.577,0.046,1,0
F133,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,19.4,0.669,2.7,0.486,0.059,0,0
F134,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71922,30.37233,21.1,0.511,3.1,0.154,0.029,1,0
F135,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77781,30.12869,11.3,0.25,3.6,0.571,0.019,2,0
F136,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,33.7,0.09,10.8,0.709,0.0,2,1
F137,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,10.4,0.197,8.8,0.256,0.006,0,0
F138,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,15.0,0.135,1.6,0.613,0.042,1,0
F139,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,4.0,0.354,3.8,0.236,0.053,1,0
F140,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.98757,30.44925,20.9,0.198,16.3,0.729,0.07,1,0
F141,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,23.2,0.374,18.2,0.872,0.019,0,0
F142,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80663,30.19427,15.5,0.287,0.7,0.198,0.009,2,0
F143,Politsi,SS-PLT-02,Politsi Substation 2,-23.83479,30.02693,4.6,0.273,6.1,0.468,0.065,1,0
F144,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95046,30.37025,16.5,0.341,11.4,0.629,0.071,1,0
F145,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93689,30.26358,10.7,0.237,7.9,0.585,0.0,0,0
F146,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93689,30.26358,1.4,0.203,1.2,0.133,0.0,2,0
F147,Politsi,SS-PLT-01,Politsi Substation 1,-23.79598,30.06514,40.0,0.224,12.5,0.64,0.0,0,0
F148,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00606,29.92924,9.1,0.104,5.7,0.618,0.017,1,0
F149,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,24.9,0.445,16.0,0.766,0.055,2,0
F150,Politsi,SS-PLT-03,Politsi Substation 3,-23.82921,30.07073,25.0,0.383,17.7,0.693,0.033,2,1
F151,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80663,30.19427,16.4,0.315,3.1,0.736,0.046,1,0
F152,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95046,30.37025,20.1,0.437,4.5,0.817,0.018,2,0
F153,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.71307,30.12111,22.0,0.15,2.6,0.869,0.075,2,1
F154,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71922,30.37233,4.8,0.122,10.0,0.972,0.021,0,0
F155,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95046,30.37025,39.8,0.323,8.8,0.307,0.058,1,0
F156,Politsi,SS-PLT-01,Politsi Substation 1,-23.79598,30.06514,14.5,0.301,9.4,0.514,0.024,2,0
F157,Bolobedu,SS-BLB-01,Bolobedu Substation 1,-23.96267,30.35354,10.2,0.201,10.4,0.233,0.03,1,0
F158,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80663,30.19427,6.7,0.24,9.6,0.185,0.052,1,0
F159,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86441,30.37934,7.9,0.292,13.5,0.264,0.034,2,0
F160,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72032,30.12139,36.7,0.299,5.1,0.386,0.086,0,1
F161,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80663,30.19427,40.0,0.026,7.3,0.571,0.005,2,0
F162,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,-23.94668,29.95869,27.1,0.174,2.6,0.438,0.029,3,0
F163,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.84573,30.35349,3.8,0.213,30.0,0.746,0.009,0,0
F164,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95219,30.30323,6.8,0.189,5.4,0.684,0.074,1,0
F165,Politsi,SS-PLT-03,Politsi Substation 3,-23.82921,30.07073,26.3,0.136,3.5,0.503,0.083,1,0
F166,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86441,30.37934,2.6,0.15,9.0,0.307,0.046,3,0
F167,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94244,30.25043,19.6,0.514,23.5,0.582,0.012,0,0
F168,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72032,30.12139,12.4,0.171,0.8,0.537,0.068,1,0
F169,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,19.4,0.237,1.1,0.736,0.062,1,0
F170,Xihoko,SS-XHK-03,Xihoko Substation 3,-23.71922,30.37233,9.8,0.282,9.7,0.811,0.0,3,0
F171,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.98757,30.44925,36.0,0.104,0.7,0.354,0.036,0,0
F172,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,40.0,0.207,12.9,0.256,0.043,0,0
F173,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93689,30.26358,17.2,0.182,15.6,0.713,0.028,0,0
F174,Lenyenye,SS-LNY-03,Lenyenye Substation 3,-23.95219,30.30323,18.5,0.065,5.1,0.199,0.051,1,0
F175,Lenyenye,SS-LNY-02,Lenyenye Substation 2,-23.93689,30.26358,11.7,0.292,7.3,0.767,0.058,3,0
F176,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,3.5,0.233,12.5,0.374,0.071,2,0
F177,Tzaneen,SS-TZN-03,Tzaneen Substation 3,-23.83198,30.19103,6.4,0.333,9.0,0.824,0.078,2,0
F178,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,29.7,0.335,6.7,0.453,0.024,1,1
F179,Tzaneen,SS-TZN-02,Tzaneen Substation 2,-23.80663,30.19427,7.7,0.2,8.0,0.567,0.002,1,0
F180,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94244,30.25043,5.5,0.151,6.7,0.418,0.061,1,0
F181,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,-23.83892,30.30076,35.2,0.287,0.3,0.794,0.003,1,0
F182,Bolobedu,SS-BLB-03,Bolobedu Substation 3,-23.98757,30.44925,31.3,0.212,25.2,0.546,0.073,1,1
F183,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,-23.72032,30.12139,30.4,0.268,20.6,0.717,0.051,3,0
F184,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94244,30.25043,7.9,0.103,12.9,0.455,0.065,0,0
F185,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,6.3,0.09,1.6,0.508,0.063,2,0
F186,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,-23.84573,30.35349,29.1,0.191,8.3,0.573,0.069,1,0
F187,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,-23.77781,30.12869,18.6,0.144,21.8,0.326,0.055,2,0
F188,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92055,30.26731,2.9,0.3,1.1,0.502,0.068,0,0
F189,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92055,30.26731,6.1,0.168,1.1,0.627,0.02,1,0
F190,Xihoko,SS-XHK-02,Xihoko Substation 2,-23.79567,30.30136,3.6,0.189,6.4,0.685,0.009,1,0
F191,Tzaneen,SS-TZN-03,Tzaneen Substation 3,-23.83198,30.19103,34.5,0.27,5.8,0.412,0.041,2,0
F192,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.71307,30.12111,37.9,0.239,4.5,0.569,0.054,0,1
F193,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,-23.83892,30.30076,6.8,0.412,26.0,0.872,0.0,4,0
F194,Tzaneen,SS-TZN-01,Tzaneen Substation 1,-23.82569,30.16595,7.5,0.322,8.9,0.551,0.024,0,0
F195,Lenyenye,SS-LNY-01,Lenyenye Substation 1,-23.96088,30.2696,13.9,0.512,17.0,0.649,0.038,2,1
F196,Politsi,SS-PLT-02,Politsi Substation 2,-23.83479,30.02693,35.9,0.148,5.0,0.301,0.045,2,0
F197,Bolobedu,SS-BLB-02,Bolobedu Substation 2,-23.95046,30.37025,27.4,0.208,11.8,0.548,0.054,3,1
F198,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,-23.92055,30.26731,23.3,0.24,0.3,0.737,0.02,1,0
F199,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,-23.86441,30.37934,7.6,0.052,10.8,0.195,0.067,0,0
F200,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,-23.71307,30.12111,10.0,0.258,6.9,0.909,0.045,1,0
F201,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,-23.94668,29.95869,23.7,0.093,16.0,0.709,0.04,1,0
F202,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,-23.83892,30.30076,22.3,0.036,4.4,0.309,0.0,0,0
F203,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,-23.94244,30.25043,40.0,0.133,6.7,0.465,0.035,1,0
F204,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00606,29.92924,12.3,0.341,21.6,0.504,0.031,2,0
F205,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,-24.00606,29.92924,13.8,0.441,9.5,0.264,0.074,3,0
