meter_id,anomaly_score,investigation_flag,theft_risk_pct,priority_tier,priority_tier_order,recommended_action,expected_kwh,actual_kwh,consumption_deviation_pct,feeder_id,cnc,substation_id,substation_name,confirmed_incidents_nearby_12mo,estimated_monthly_loss_rand,top_reasons
M08533,83.2,1,92.2,emergency,4,Dispatch field inspection within 24 hours,182.9,79.6,56.478950246036085,F238,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,1,269.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M01651,81.9,1,92.2,emergency,4,Dispatch field inspection within 24 hours,251.3,104.4,58.45602865101473,F073,Politsi,SS-PLT-02,Politsi Substation 2,0,382.0,"high feed_vs_declared_ratio, high pct_drop_recent, high zero_consumption_days_90d"
M03913,80.8,1,92.1,emergency,4,Dispatch field inspection within 24 hours,220.2,136.6,37.96548592188919,F136,Tzaneen,SS-TZN-01,Tzaneen Substation 1,5,217.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M06063,81.5,1,92.1,emergency,4,Dispatch field inspection within 24 hours,63.3,34.8,45.02369668246446,F015,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,3,74.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M01590,82.9,1,92.1,emergency,4,Dispatch field inspection within 24 hours,40.2,23.2,42.28855721393035,F452,Xihoko,SS-XHK-03,Xihoko Substation 3,0,44.0,"high feed_vs_declared_ratio, high pct_drop_recent, high zero_consumption_days_90d"
M04652,88.7,1,92.1,emergency,4,Dispatch field inspection within 24 hours,18.7,20.9,-11.764705882352938,F410,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,1,0.0,"high pct_drop_recent, high zero_consumption_days_90d, high night_usage_ratio"
M09636,82.9,1,92.0,emergency,4,Dispatch field inspection within 24 hours,57.7,46.5,19.410745233968807,F086,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,2,29.0,"high zero_consumption_days_90d, high pct_drop_recent, low night_usage_ratio"
M09228,82.0,1,92.0,emergency,4,Dispatch field inspection within 24 hours,118.1,50.3,57.40897544453853,F377,Lenyenye,SS-LNY-03,Lenyenye Substation 3,8,176.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M06096,81.1,1,91.9,emergency,4,Dispatch field inspection within 24 hours,230.7,122.6,46.85739055049849,F188,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,0,281.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M04459,80.7,1,91.9,emergency,4,Dispatch field inspection within 24 hours,99.3,75.5,23.967774420946625,F233,Bolobedu,SS-BLB-03,Bolobedu Substation 3,9,62.0,"high zero_consumption_days_90d, high pct_drop_recent, high night_usage_ratio"
M08246,81.1,1,91.9,emergency,4,Dispatch field inspection within 24 hours,63.4,36.1,43.05993690851735,F364,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,4,71.0,"high feed_vs_declared_ratio, high pct_drop_recent, high night_usage_ratio"
M01106,81.3,1,91.9,emergency,4,Dispatch field inspection within 24 hours,171.8,69.0,59.837019790454015,F430,Lenyenye,SS-LNY-01,Lenyenye Substation 1,2,267.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M05647,81.8,1,91.8,emergency,4,Dispatch field inspection within 24 hours,111.8,43.7,60.912343470483,F221,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,0,177.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M04383,80.0,1,91.7,emergency,4,Dispatch field inspection within 24 hours,205.7,122.5,40.44725328147788,F347,Modjadjiskloof,SS-MDK-03,Modjadjiskloof Substation 3,3,216.0,"high feed_vs_declared_ratio, high pct_drop_recent, high zero_consumption_days_90d"
M07045,80.0,1,91.7,emergency,4,Dispatch field inspection within 24 hours,270.1,137.2,49.20399851906702,F129,Xihoko,SS-XHK-02,Xihoko Substation 2,1,346.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M00064,80.3,1,91.7,emergency,4,Dispatch field inspection within 24 hours,191.1,146.7,23.233908948194664,F276,Lenyenye,SS-LNY-02,Lenyenye Substation 2,1,115.0,"high zero_consumption_days_90d, high pct_drop_recent, high night_usage_ratio"
M02610,80.6,1,91.6,emergency,4,Dispatch field inspection within 24 hours,247.6,125.5,49.31340872374798,F189,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,3,317.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M07162,79.1,1,91.5,emergency,4,Dispatch field inspection within 24 hours,241.3,161.5,33.07086614173229,F145,Lenyenye,SS-LNY-02,Lenyenye Substation 2,0,207.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M00480,80.0,1,91.5,emergency,4,Dispatch field inspection within 24 hours,49.4,26.9,45.546558704453446,F168,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,6,58.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M06782,79.1,1,91.5,emergency,4,Dispatch field inspection within 24 hours,206.5,121.9,40.9685230024213,F275,Tzaneen,SS-TZN-03,Tzaneen Substation 3,4,220.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M01577,81.4,1,91.4,emergency,4,Dispatch field inspection within 24 hours,76.2,37.2,51.181102362204726,F419,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,0,101.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M09141,78.7,1,91.4,emergency,4,Dispatch field inspection within 24 hours,152.7,96.4,36.86967910936476,F097,Tzaneen,SS-TZN-03,Tzaneen Substation 3,2,146.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M03256,80.9,1,91.4,emergency,4,Dispatch field inspection within 24 hours,138.5,61.2,55.812274368231044,F170,Xihoko,SS-XHK-03,Xihoko Substation 3,2,201.0,"high feed_vs_declared_ratio, high pct_drop_recent, high zero_consumption_days_90d"
M05091,82.5,1,91.4,emergency,4,Dispatch field inspection within 24 hours,255.3,244.6,4.191147669408545,F471,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,1,28.0,"high pct_drop_recent, high zero_consumption_days_90d, low feed_vs_declared_ratio"
M07853,78.8,1,91.3,emergency,4,Dispatch field inspection within 24 hours,188.5,117.6,37.61273209549072,F230,Lenyenye,SS-LNY-02,Lenyenye Substation 2,1,184.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M07074,78.4,1,91.3,emergency,4,Dispatch field inspection within 24 hours,118.2,68.2,42.30118443316413,F005,Xihoko,SS-XHK-01,Xihoko Substation 1,2,130.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M08172,79.2,1,91.3,emergency,4,Dispatch field inspection within 24 hours,69.2,34.5,50.14450867052024,F341,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,1,90.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M07995,85.2,1,91.3,emergency,4,Dispatch field inspection within 24 hours,72.6,48.6,33.05785123966942,F313,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,2,62.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M09373,78.6,1,91.3,emergency,4,Dispatch field inspection within 24 hours,198.6,152.2,23.363544813695874,F114,Xihoko,SS-XHK-02,Xihoko Substation 2,3,121.0,"high zero_consumption_days_90d, high pct_drop_recent, high night_usage_ratio"
M03380,78.9,1,91.2,emergency,4,Dispatch field inspection within 24 hours,52.4,29.8,43.12977099236641,F160,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,2,59.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M08404,80.6,1,91.1,emergency,4,Dispatch field inspection within 24 hours,40.5,22.7,43.95061728395062,F344,Politsi,SS-PLT-02,Politsi Substation 2,0,46.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M01913,79.2,1,91.1,emergency,4,Dispatch field inspection within 24 hours,73.7,68.3,7.32700135685211,F495,Nkowankowa,SS-NKW-01,Nkowankowa Substation 1,2,14.0,"high zero_consumption_days_90d, high pct_drop_recent, high night_usage_ratio"
M08610,78.9,1,91.1,emergency,4,Dispatch field inspection within 24 hours,154.9,104.2,32.73079406068432,F482,Politsi,SS-PLT-02,Politsi Substation 2,5,132.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M02448,79.1,1,91.1,emergency,4,Dispatch field inspection within 24 hours,106.7,55.3,48.17244611059044,F236,Bolobedu,SS-BLB-02,Bolobedu Substation 2,5,134.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M09985,77.8,1,91.1,emergency,4,Dispatch field inspection within 24 hours,179.2,103.8,42.075892857142854,F207,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,1,196.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high meter_reversal_events_6mo"
M09015,78.1,1,91.1,emergency,4,Dispatch field inspection within 24 hours,185.9,104.2,43.94835933297472,F168,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,4,212.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M08940,78.1,1,91.0,emergency,4,Dispatch field inspection within 24 hours,48.8,31.8,34.83606557377048,F008,Tzaneen,SS-TZN-01,Tzaneen Substation 1,3,44.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M09849,82.1,1,91.0,emergency,4,Dispatch field inspection within 24 hours,40.3,25.6,36.47642679900744,F035,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,0,38.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M00660,78.5,1,90.9,emergency,4,Dispatch field inspection within 24 hours,151.7,82.9,45.35266974291364,F243,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,6,179.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M01763,77.9,1,90.9,emergency,4,Dispatch field inspection within 24 hours,178.4,77.8,56.390134529147986,F283,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,3,262.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M04507,79.5,1,90.9,emergency,4,Dispatch field inspection within 24 hours,76.2,50.9,33.20209973753281,F020,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,7,66.0,"high feed_vs_declared_ratio, high pct_drop_recent, high night_usage_ratio"
M05295,77.8,1,90.9,emergency,4,Dispatch field inspection within 24 hours,105.7,95.4,9.7445600756859,F093,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,3,27.0,"high pct_drop_recent, high zero_consumption_days_90d, high meter_reversal_events_6mo"
M05296,82.1,1,90.9,emergency,4,Dispatch field inspection within 24 hours,250.1,167.6,32.98680527788885,F423,Modjadjiskloof,SS-MDK-01,Modjadjiskloof Substation 1,9,214.0,"high feed_vs_declared_ratio, high night_usage_ratio, high meter_reversal_events_6mo"
M01741,77.6,1,90.9,emergency,4,Dispatch field inspection within 24 hours,83.8,46.7,44.27207637231503,F349,Politsi,SS-PLT-02,Politsi Substation 2,4,96.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M08394,80.4,1,90.9,emergency,4,Dispatch field inspection within 24 hours,84.6,53.6,36.64302600472812,F119,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,0,81.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M08627,77.8,1,90.9,emergency,4,Dispatch field inspection within 24 hours,69.3,52.6,24.098124098124092,F472,Lenyenye,SS-LNY-01,Lenyenye Substation 1,0,43.0,"high zero_consumption_days_90d, high pct_drop_recent, high feed_vs_declared_ratio"
M09479,77.8,1,90.9,emergency,4,Dispatch field inspection within 24 hours,159.3,110.2,30.82234777150032,F456,Bolobedu,SS-BLB-03,Bolobedu Substation 3,6,128.0,"high zero_consumption_days_90d, high pct_drop_recent, high feed_vs_declared_ratio"
M02770,77.8,1,90.8,emergency,4,Dispatch field inspection within 24 hours,221.9,143.2,35.46642631816134,F429,Tzaneen,SS-TZN-01,Tzaneen Substation 1,1,205.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M07493,77.2,1,90.7,emergency,4,Dispatch field inspection within 24 hours,244.4,123.2,49.59083469721768,F066,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,3,315.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M03092,78.6,1,90.7,emergency,4,Dispatch field inspection within 24 hours,47.0,21.1,55.1063829787234,F424,Politsi,SS-PLT-03,Politsi Substation 3,8,67.0,"high feed_vs_declared_ratio, high pct_drop_recent, high meter_reversal_events_6mo"
M01570,78.6,1,90.7,emergency,4,Dispatch field inspection within 24 hours,170.7,70.6,58.64089045108377,F321,Xihoko,SS-XHK-03,Xihoko Substation 3,2,260.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M05506,77.8,1,90.7,emergency,4,Dispatch field inspection within 24 hours,153.8,104.8,31.859557867360216,F156,Politsi,SS-PLT-01,Politsi Substation 1,2,127.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M01342,78.1,1,90.6,emergency,4,Dispatch field inspection within 24 hours,85.6,52.7,38.43457943925233,F383,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,4,86.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M09869,78.3,1,90.6,emergency,4,Dispatch field inspection within 24 hours,77.5,39.1,49.54838709677419,F138,Tzaneen,SS-TZN-01,Tzaneen Substation 1,8,100.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M05566,77.8,1,90.5,emergency,4,Dispatch field inspection within 24 hours,68.6,41.5,39.50437317784256,F372,Nkowankowa,SS-NKW-03,Nkowankowa Substation 3,4,70.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M03925,76.9,1,90.5,emergency,4,Dispatch field inspection within 24 hours,77.1,50.8,34.11154345006485,F444,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,4,68.0,"high feed_vs_declared_ratio, high pct_drop_recent, high zero_consumption_days_90d"
M02935,78.6,1,90.5,emergency,4,Dispatch field inspection within 24 hours,117.1,91.4,21.947053800170785,F092,Politsi,SS-PLT-02,Politsi Substation 2,0,67.0,"high zero_consumption_days_90d, high night_usage_ratio, high feed_vs_declared_ratio"
M01589,78.2,1,90.5,emergency,4,Dispatch field inspection within 24 hours,63.3,38.7,38.86255924170615,F071,Ga-Kgapane,SS-GKG-02,Ga-Kgapane Substation 2,1,64.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M03717,76.8,1,90.4,emergency,4,Dispatch field inspection within 24 hours,148.1,106.0,28.42673869007427,F387,Xihoko,SS-XHK-01,Xihoko Substation 1,3,109.0,"high zero_consumption_days_90d, high pct_drop_recent, high night_usage_ratio"
M01645,78.4,1,90.4,emergency,4,Dispatch field inspection within 24 hours,59.7,31.9,46.56616415410386,F128,Ga-Kgapane,SS-GKG-03,Ga-Kgapane Substation 3,3,72.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M07816,78.1,1,90.4,emergency,4,Dispatch field inspection within 24 hours,65.6,42.9,34.603658536585364,F487,Politsi,SS-PLT-02,Politsi Substation 2,1,59.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M00191,77.3,1,90.4,emergency,4,Dispatch field inspection within 24 hours,196.6,118.3,39.827060020345876,F449,Ga-Kgapane,SS-GKG-01,Ga-Kgapane Substation 1,10,204.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high night_usage_ratio"
M06361,77.9,1,90.4,emergency,4,Dispatch field inspection within 24 hours,98.0,104.3,-6.428571428571425,F434,Politsi,SS-PLT-01,Politsi Substation 1,2,0.0,"high zero_consumption_days_90d, high pct_drop_recent, low feed_vs_declared_ratio"
M00222,76.7,1,90.4,emergency,4,Dispatch field inspection within 24 hours,210.6,145.4,30.959164292497622,F158,Tzaneen,SS-TZN-02,Tzaneen Substation 2,3,170.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M08571,76.3,1,90.3,emergency,4,Dispatch field inspection within 24 hours,166.9,80.7,51.64769322947873,F488,Tzaneen,SS-TZN-01,Tzaneen Substation 1,3,224.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M01997,76.0,1,90.3,emergency,4,Dispatch field inspection within 24 hours,175.2,113.5,35.21689497716894,F207,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,1,160.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high pct_drop_recent"
M06621,78.3,1,90.3,emergency,4,Dispatch field inspection within 24 hours,74.3,41.9,43.60699865410498,F352,Haenertsburg,SS-HBG-02,Haenertsburg Substation 2,4,84.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high night_usage_ratio"
M01255,77.9,1,90.3,emergency,4,Dispatch field inspection within 24 hours,51.3,34.4,32.94346978557505,F363,Haenertsburg,SS-HBG-03,Haenertsburg Substation 3,12,44.0,"high feed_vs_declared_ratio, high pct_drop_recent, high night_usage_ratio"
M07468,78.4,1,90.2,emergency,4,Dispatch field inspection within 24 hours,158.3,56.3,64.43461781427669,F106,Lenyenye,SS-LNY-01,Lenyenye Substation 1,5,265.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M01810,78.6,1,90.2,emergency,4,Dispatch field inspection within 24 hours,85.9,40.2,53.20139697322468,F301,Politsi,SS-PLT-02,Politsi Substation 2,3,119.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high meter_reversal_events_6mo"
M03640,75.8,1,90.2,emergency,4,Dispatch field inspection within 24 hours,197.6,117.0,40.78947368421053,F014,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,0,210.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
M03732,77.5,1,90.1,emergency,4,Dispatch field inspection within 24 hours,129.3,73.8,42.923433874709986,F223,Modjadjiskloof,SS-MDK-02,Modjadjiskloof Substation 2,3,144.0,"high feed_vs_declared_ratio, high pct_drop_recent, high night_usage_ratio"
M04451,80.4,1,90.0,emergency,4,Dispatch field inspection within 24 hours,31.0,19.2,38.06451612903226,F291,Nkowankowa,SS-NKW-02,Nkowankowa Substation 2,1,31.0,"high feed_vs_declared_ratio, high zero_consumption_days_90d, high meter_reversal_events_6mo"
M01032,75.9,1,90.0,emergency,4,Dispatch field inspection within 24 hours,143.8,90.3,37.20445062586927,F460,Haenertsburg,SS-HBG-01,Haenertsburg Substation 1,3,139.0,"high zero_consumption_days_90d, high feed_vs_declared_ratio, high pct_drop_recent"
