transformer_id,age_years,load_factor,maintenance_score,oil_quality_index,temperature_rise_c,failure_within_1yr,failure_score,predicted_failure,tier
T0087,3.7,0.471,0.866,0.685,46.4,0,0.0,0,low
T0088,29.8,0.644,0.627,0.721,64.0,0,0.23,0,high
T0089,10.3,0.723,0.252,0.349,53.6,0,0.14,0,high
T0090,25.7,0.67,0.966,0.801,56.8,1,0.78,1,high
T0091,8.2,0.507,0.519,0.604,57.2,0,0.0,0,low
T0092,15.1,0.49,0.628,0.625,53.5,0,0.02,0,medium
T0093,12.8,0.645,0.804,0.729,56.1,0,0.0,0,low
T0094,3.3,0.24,0.588,0.502,39.8,0,0.0,0,low
T0095,32.1,0.634,0.889,0.762,65.4,0,0.1,0,medium
T0096,8.3,0.274,0.674,0.65,38.5,0,0.0,0,low
T0097,4.4,0.388,0.456,0.513,48.4,0,0.01,0,low
T0098,17.3,0.87,0.741,0.76,63.7,0,0.1,0,medium
T0099,11.2,0.402,0.778,0.644,51.5,0,0.0,0,low
T0100,14.2,0.521,0.308,0.407,54.1,0,0.06,0,medium
T0101,12.0,0.358,0.951,0.665,47.4,0,0.02,0,medium
T0102,1.4,0.413,0.602,0.557,48.6,0,0.02,0,medium
T0103,5.6,0.884,0.634,0.472,59.3,0,0.11,0,high
T0104,5.4,0.553,0.122,0.272,55.1,0,0.09,0,medium
T0105,20.5,0.37,0.518,0.659,64.1,0,0.06,0,medium
T0106,11.5,0.653,0.721,0.754,48.9,0,0.01,0,low
T0107,15.7,0.78,0.696,0.748,64.5,1,0.6,1,high
T0108,8.7,0.3,0.521,0.531,42.5,0,0.0,0,low
T0109,16.2,0.575,0.335,0.449,63.6,1,0.88,1,high
T0110,10.0,0.851,0.637,0.725,61.2,0,0.07,0,medium
T0111,9.5,0.572,0.27,0.38,54.9,0,0.14,0,high
T0112,12.7,0.25,0.838,0.762,39.3,0,0.0,0,low
T0113,12.0,0.357,0.239,0.326,45.3,0,0.13,0,high
T0114,35.0,0.694,0.815,0.787,65.0,0,0.2,0,high
T0115,5.6,0.191,0.485,0.496,47.2,0,0.01,0,low
T0116,3.0,0.926,0.844,0.81,48.2,0,0.1,0,medium
T0117,14.0,0.816,0.393,0.428,65.1,0,0.32,0,high
T0118,6.2,0.717,0.306,0.513,48.9,0,0.14,0,high
T0119,1.2,0.403,0.622,0.536,44.8,0,0.01,0,low
T0120,4.6,0.556,0.763,0.553,45.3,0,0.0,0,low
T0121,35.0,0.642,0.816,0.702,68.1,0,0.05,0,medium
T0122,5.4,0.464,0.508,0.622,45.8,0,0.0,0,low
T0123,2.1,0.851,0.414,0.437,52.2,1,0.81,1,high
T0124,35.0,0.473,0.364,0.473,65.6,1,0.98,1,high
T0125,4.4,0.619,0.479,0.472,49.1,1,0.64,1,high
T0126,35.0,0.496,0.178,0.412,63.9,1,0.9,1,high
T0127,8.4,0.402,0.506,0.64,53.8,0,0.0,0,low
T0128,32.2,0.765,0.755,0.69,67.9,0,0.22,0,high
T0129,9.3,0.635,0.616,0.509,45.4,0,0.01,0,low
T0130,15.2,0.364,0.627,0.611,49.0,1,0.58,1,high
T0131,10.1,0.62,0.626,0.697,57.8,0,0.0,0,low
T0132,9.4,0.911,0.647,0.542,58.1,1,0.65,1,high
T0133,13.2,0.431,0.325,0.469,62.5,1,0.84,1,high
T0134,15.5,0.699,0.565,0.623,55.2,0,0.04,0,medium
T0135,12.5,0.532,0.732,0.488,59.0,1,0.61,1,high
T0136,11.6,0.743,0.57,0.54,64.8,0,0.04,0,medium
T0137,6.3,0.646,0.273,0.36,59.7,1,0.72,1,high
T0138,10.4,0.575,0.57,0.67,46.0,0,0.01,0,low
T0139,29.7,0.442,0.765,0.72,55.9,0,0.07,0,medium
T0140,6.0,0.531,0.774,0.701,54.5,0,0.0,0,low
T0141,13.5,0.961,0.831,0.804,56.7,0,0.07,0,medium
T0142,24.1,0.285,0.479,0.608,60.7,0,0.05,0,medium
T0143,15.6,0.823,0.627,0.728,58.2,0,0.04,0,medium
T0144,20.7,0.611,0.495,0.559,62.5,1,0.65,1,high
T0145,4.3,0.612,0.579,0.527,45.7,0,0.01,0,low
T0146,13.5,0.405,0.933,0.878,44.2,0,0.0,0,low
T0147,9.0,0.376,0.822,0.717,42.4,0,0.0,0,low
T0148,9.3,0.482,0.899,0.849,48.0,0,0.03,0,medium
T0149,28.1,0.385,0.304,0.37,65.1,0,0.3,0,high
T0150,9.4,0.415,0.314,0.389,56.1,1,0.7,1,high
T0151,13.8,0.77,0.737,0.615,57.7,0,0.05,0,medium
T0152,2.1,0.304,0.758,0.728,36.2,0,0.0,0,low
T0153,32.2,0.844,0.812,0.725,71.7,0,0.22,0,high
T0154,19.9,0.382,0.925,0.819,46.4,0,0.01,0,low
T0155,10.7,0.248,0.634,0.683,51.0,0,0.06,0,medium
T0156,8.7,0.239,0.461,0.492,47.1,0,0.0,0,low
T0157,16.7,0.26,0.487,0.496,51.2,0,0.04,0,medium
T0158,23.9,0.276,0.938,0.805,54.2,0,0.07,0,medium
T0159,32.4,0.652,0.791,0.786,65.3,1,0.56,1,high
T0160,19.5,0.976,0.882,0.887,54.9,0,0.09,0,medium
T0161,11.8,0.495,0.197,0.282,53.6,1,0.78,1,high
T0162,21.4,0.58,0.853,0.89,60.9,0,0.1,0,medium
T0163,18.9,0.629,0.318,0.489,62.8,1,0.93,1,high
T0164,11.8,0.39,0.717,0.61,42.3,0,0.03,0,medium
T0165,18.6,0.567,0.633,0.61,60.4,0,0.0,0,low
T0166,18.3,0.514,0.322,0.341,59.4,0,0.12,0,high
T0167,10.7,0.627,0.699,0.644,50.2,0,0.02,0,medium
T0168,7.5,0.555,0.432,0.583,46.5,0,0.02,0,medium
T0169,17.3,0.888,0.5,0.641,69.4,0,0.18,0,high
T0170,4.8,0.403,0.447,0.389,40.9,0,0.05,0,medium
T0171,3.9,0.629,0.393,0.35,51.7,1,0.73,1,high
T0172,14.0,0.477,0.758,0.668,53.4,0,0.02,0,medium
T0173,17.0,0.68,0.719,0.65,67.3,0,0.06,0,medium
T0174,13.9,0.768,0.569,0.643,62.4,1,0.7,1,high
T0175,14.9,0.977,0.418,0.352,65.9,1,0.87,1,high
T0176,16.8,0.158,0.486,0.566,57.0,0,0.01,0,low
T0177,28.2,0.344,0.826,0.846,48.5,0,0.09,0,medium
T0178,19.7,0.205,0.509,0.69,51.2,0,0.01,0,low
T0179,19.3,0.494,0.72,0.729,57.7,0,0.01,0,low
T0180,13.2,0.15,0.545,0.463,44.5,0,0.0,0,low
T0181,13.6,0.321,0.367,0.418,57.2,0,0.14,0,high
T0182,10.0,0.659,0.529,0.499,55.0,0,0.02,0,medium
T0183,14.6,0.307,0.339,0.457,56.8,0,0.09,0,medium
T0184,4.6,0.504,0.54,0.693,38.2,0,0.0,0,low
T0185,28.3,0.228,0.717,0.653,57.9,1,0.69,1,high
T0186,5.7,0.841,0.751,0.673,53.7,0,0.01,0,low
T0187,19.6,0.358,0.731,0.477,62.8,0,0.13,0,high
T0188,26.0,0.408,0.281,0.504,61.3,1,0.75,1,high
T0189,19.6,0.607,0.447,0.562,67.2,0,0.08,0,medium
T0190,35.0,0.207,0.19,0.357,67.7,1,0.87,1,high
T0191,1.5,0.177,0.81,0.654,38.4,0,0.0,0,low
T0192,7.9,0.453,0.429,0.379,57.8,0,0.15,0,high
T0193,25.7,0.457,0.642,0.58,65.0,1,0.72,1,high
T0194,3.8,0.51,0.575,0.642,50.3,0,0.02,0,medium
T0195,5.9,0.753,0.658,0.713,41.8,0,0.01,0,low
T0196,16.1,0.96,0.534,0.434,64.0,0,0.18,0,high
T0197,11.7,0.748,0.712,0.751,62.8,0,0.07,0,medium
T0198,15.4,0.822,0.643,0.623,55.8,0,0.07,0,medium
T0199,12.4,0.926,0.492,0.442,70.2,0,0.17,0,high
T0200,13.2,0.746,0.372,0.381,67.0,0,0.17,0,high
T0201,6.4,0.834,0.594,0.695,52.0,0,0.01,0,low
T0202,12.9,0.394,0.777,0.683,40.1,0,0.0,0,low
T0203,8.3,0.256,0.465,0.308,48.2,0,0.1,0,medium
T0204,9.2,0.744,0.63,0.684,65.9,0,0.06,0,medium
T0205,19.5,0.737,0.251,0.243,65.2,1,0.85,1,high
T0206,3.6,0.756,0.614,0.501,51.8,0,0.02,0,medium
T0207,0.9,0.707,0.429,0.427,49.4,0,0.18,0,high
T0208,18.5,0.939,0.93,0.879,68.0,0,0.08,0,medium
T0209,12.9,0.332,0.269,0.442,51.9,0,0.02,0,medium
T0210,26.0,0.497,0.797,0.774,55.5,0,0.05,0,medium
T0211,6.0,0.731,0.258,0.354,66.4,0,0.22,0,high
T0212,10.4,0.766,0.712,0.644,60.4,0,0.1,0,medium
T0213,12.0,0.153,0.688,0.671,39.9,0,0.0,0,low
T0214,7.0,0.756,0.625,0.612,49.7,0,0.04,0,medium
T0215,5.4,0.514,0.68,0.637,54.9,0,0.01,0,low
T0216,19.2,0.709,0.282,0.49,64.4,1,0.93,1,high
T0217,3.3,0.557,0.607,0.627,41.2,0,0.0,0,low
T0218,4.7,0.729,0.23,0.38,49.1,0,0.12,0,high
T0219,10.2,0.368,0.417,0.534,45.0,0,0.02,0,medium
T0220,20.7,0.522,0.457,0.617,52.6,0,0.1,0,medium
T0221,7.4,0.631,0.757,0.711,41.3,0,0.0,0,low
T0222,6.6,0.405,0.466,0.591,42.8,0,0.0,0,low
T0223,9.7,0.569,0.287,0.492,50.9,1,0.65,1,high
T0224,14.4,0.676,0.491,0.449,59.1,0,0.06,0,medium
T0225,8.6,0.283,0.898,0.902,49.6,0,0.03,0,medium
T0226,22.4,0.38,0.439,0.404,59.2,1,0.74,1,high
T0227,23.0,0.68,0.634,0.718,61.0,1,0.65,1,high
T0228,10.2,0.686,0.91,0.789,55.5,0,0.02,0,medium
T0229,35.0,0.2,0.972,0.957,53.0,0,0.21,0,high
T0230,11.8,0.493,0.815,0.711,53.1,0,0.0,0,low
T0231,22.5,0.243,0.93,0.798,51.9,0,0.06,0,medium
T0232,14.2,0.649,0.619,0.71,56.6,0,0.01,0,low
T0233,14.0,0.206,0.936,0.805,58.3,0,0.05,0,medium
T0234,2.6,0.464,0.424,0.579,51.9,0,0.03,0,medium
T0235,4.3,0.334,0.864,0.894,34.4,0,0.0,0,low
T0236,9.0,0.315,0.416,0.634,48.8,0,0.02,0,medium
T0237,22.9,0.524,0.898,0.849,52.0,1,0.76,1,high
T0238,14.3,0.518,0.658,0.524,58.8,0,0.09,0,medium
T0239,9.0,0.231,0.4,0.457,41.4,0,0.05,0,medium
T0240,17.1,0.642,0.254,0.214,61.0,0,0.25,0,high
T0241,22.4,0.495,0.417,0.495,63.1,0,0.25,0,high
T0242,11.3,0.364,0.8,0.753,52.2,0,0.01,0,low
T0243,13.1,0.795,0.512,0.332,67.9,0,0.15,0,high
T0244,12.0,0.44,0.315,0.318,61.4,0,0.1,0,medium
T0245,10.7,0.717,0.746,0.718,57.2,0,0.0,0,low
T0246,5.9,0.412,0.908,0.686,47.1,0,0.01,0,low
T0247,5.6,0.223,0.418,0.52,42.4,0,0.01,0,low
T0248,17.0,0.608,0.756,0.718,60.7,0,0.02,0,medium
T0249,22.7,0.456,0.252,0.418,67.2,1,0.85,1,high
T0250,9.0,0.39,0.564,0.57,49.4,0,0.02,0,medium
T0251,8.9,0.327,0.577,0.692,45.5,0,0.0,0,low
T0252,1.9,0.73,0.529,0.51,62.0,0,0.13,0,high
T0253,1.5,0.377,0.16,0.446,47.1,0,0.16,0,high
T0254,26.5,0.622,0.774,0.616,64.9,0,0.19,0,high
T0255,6.3,0.718,0.675,0.737,54.7,0,0.03,0,medium
T0256,35.0,0.618,0.734,0.704,67.4,0,0.04,0,medium
T0257,7.2,0.973,0.525,0.457,59.4,0,0.07,0,medium
T0258,2.7,0.499,0.64,0.466,52.1,0,0.0,0,low
T0259,12.0,0.312,0.526,0.626,48.6,0,0.01,0,low
T0260,19.0,0.718,0.829,0.711,69.6,0,0.02,0,medium
T0261,17.6,0.619,0.535,0.542,64.4,0,0.02,0,medium
T0262,20.3,0.264,0.887,0.8,46.6,0,0.0,0,low
T0263,5.0,0.569,0.664,0.629,53.8,0,0.03,0,medium
T0264,26.1,0.558,0.488,0.621,64.3,0,0.28,0,high
T0265,27.1,0.641,0.609,0.63,71.6,1,0.74,1,high
T0266,27.9,0.617,0.495,0.645,62.1,1,0.78,1,high
T0267,13.5,0.323,0.598,0.514,52.9,0,0.0,0,low
T0268,8.5,0.349,0.472,0.501,49.3,0,0.08,0,medium
T0269,7.9,0.734,0.516,0.519,57.8,0,0.02,0,medium
T0270,2.6,0.226,0.715,0.555,38.1,0,0.0,0,low
T0271,7.3,0.982,0.619,0.726,61.8,0,0.06,0,medium
T0272,0.8,0.421,0.652,0.635,46.4,0,0.0,0,low
T0273,2.3,0.325,0.791,0.654,49.2,0,0.04,0,medium
T0274,13.4,0.777,0.457,0.422,63.5,1,0.74,1,high
T0275,9.2,0.707,0.603,0.605,54.1,0,0.0,0,low
T0276,13.0,0.512,0.543,0.392,61.9,0,0.03,0,medium
T0277,18.1,0.56,0.219,0.357,58.8,0,0.28,0,high
T0278,14.7,0.538,0.416,0.414,64.6,1,0.81,1,high
T0279,13.8,0.323,0.605,0.568,56.6,0,0.0,0,low
T0280,10.5,0.918,0.869,0.674,66.7,0,0.15,0,high
T0281,6.1,0.787,0.379,0.548,59.0,1,0.77,1,high
T0282,3.8,0.731,0.195,0.413,54.5,1,0.72,1,high
T0283,7.5,0.791,0.634,0.68,56.2,0,0.0,0,low
T0284,10.6,0.469,0.95,0.766,50.8,0,0.03,0,medium
T0285,11.6,0.186,0.759,0.698,41.7,0,0.0,0,low
T0286,20.3,0.238,0.439,0.384,63.2,0,0.26,0,high
T0287,9.9,0.579,0.528,0.556,57.6,0,0.01,0,low
T0288,16.3,0.241,0.461,0.659,44.8,0,0.0,0,low
T0289,3.0,0.665,0.708,0.693,59.4,0,0.03,0,medium
T0290,13.5,0.294,0.818,0.854,45.7,0,0.0,0,low
T0291,12.8,0.576,0.681,0.492,52.0,0,0.03,0,medium
T0292,26.1,0.486,0.968,0.733,55.0,0,0.1,0,medium
T0293,9.3,0.358,0.558,0.606,56.0,0,0.03,0,medium
T0294,9.0,0.625,0.814,0.672,62.2,0,0.02,0,medium
T0295,18.1,0.842,0.611,0.699,67.9,0,0.07,0,medium
T0296,4.1,0.904,0.5,0.612,63.9,1,0.86,1,high
T0297,13.2,0.338,0.483,0.554,57.5,0,0.04,0,medium
T0298,3.9,0.55,0.215,0.34,57.1,0,0.1,0,medium
T0299,33.7,0.541,0.306,0.38,73.0,1,0.94,1,high
T0300,8.1,0.784,0.757,0.667,58.8,0,0.09,0,medium
T0301,3.6,0.293,0.839,0.819,43.6,0,0.0,0,low
T0302,7.5,0.724,0.481,0.365,56.1,0,0.06,0,medium
T0303,13.3,0.378,0.432,0.422,58.4,0,0.14,0,high
T0304,16.0,0.576,0.628,0.485,66.8,0,0.08,0,medium
T0305,25.2,0.601,0.2,0.316,67.6,1,0.94,1,high
T0306,6.7,0.457,0.261,0.307,53.0,0,0.08,0,medium
T0307,18.7,0.49,0.594,0.615,59.3,0,0.02,0,medium
T0308,2.3,0.371,0.515,0.506,43.2,0,0.0,0,low
T0309,4.7,0.736,0.782,0.664,46.5,0,0.0,0,low
T0310,3.1,0.294,0.681,0.726,47.0,0,0.0,0,low
T0311,5.8,0.192,0.621,0.7,38.9,0,0.0,0,low
T0312,18.1,0.756,0.706,0.655,61.8,0,0.03,0,medium
T0313,6.9,0.677,0.657,0.501,53.0,0,0.0,0,low
T0314,8.0,0.391,0.703,0.683,53.5,0,0.0,0,low
T0315,13.6,0.516,0.561,0.525,60.3,0,0.03,0,medium
T0316,15.5,0.577,0.415,0.509,57.6,0,0.17,0,high
T0317,8.2,0.423,0.306,0.407,47.0,0,0.1,0,medium
T0318,4.7,0.673,0.777,0.684,49.5,0,0.02,0,medium
T0319,30.3,0.438,0.479,0.643,65.1,0,0.24,0,high
T0320,8.2,0.359,0.583,0.462,51.4,0,0.01,0,low
T0321,8.8,0.554,0.675,0.66,52.2,0,0.03,0,medium
T0322,9.7,0.38,0.703,0.653,49.5,0,0.0,0,low
T0323,16.7,0.12,0.802,0.655,50.6,0,0.06,0,medium
T0324,2.9,0.666,0.559,0.587,51.6,0,0.01,0,low
T0325,35.0,0.704,0.483,0.506,75.6,1,0.92,1,high
T0326,8.7,0.643,0.699,0.711,47.6,0,0.0,0,low
T0327,17.0,0.368,0.435,0.519,67.7,1,0.69,1,high
T0328,3.7,0.502,0.783,0.788,43.7,0,0.0,0,low
T0329,12.6,0.265,0.611,0.626,49.1,0,0.01,0,low
T0330,34.2,0.46,0.462,0.612,68.5,1,0.77,1,high
T0331,31.2,0.444,0.531,0.552,62.5,1,0.85,1,high
T0332,16.7,0.721,0.807,0.706,59.2,0,0.04,0,medium
T0333,5.5,0.153,0.349,0.489,43.8,0,0.03,0,medium
T0334,24.4,0.812,0.185,0.334,67.9,1,0.9,1,high
T0335,2.3,0.596,0.54,0.526,53.2,0,0.02,0,medium
T0336,5.3,0.476,0.642,0.592,40.8,0,0.0,0,low
T0337,10.5,0.707,0.7,0.721,63.7,1,0.63,1,high
T0338,2.5,0.715,0.388,0.554,57.2,0,0.13,0,high
T0339,7.4,0.452,0.304,0.367,57.0,1,0.72,1,high
T0340,18.9,0.775,0.483,0.665,53.8,1,0.65,1,high
T0341,6.3,0.529,0.149,0.367,50.9,0,0.16,0,high
T0342,19.5,0.519,0.379,0.588,65.5,0,0.14,0,high
T0343,35.0,0.902,0.835,0.696,95.0,1,0.76,1,high
T0344,14.7,0.859,0.76,0.725,66.6,0,0.07,0,medium
T0345,19.3,0.895,0.831,0.672,70.4,0,0.15,0,high
T0346,24.9,0.324,0.761,0.784,56.6,0,0.03,0,medium
T0347,8.0,0.723,0.377,0.467,54.1,0,0.17,0,high
T0348,19.0,0.674,0.828,0.744,63.8,0,0.03,0,medium
T0349,7.8,0.492,0.619,0.577,45.6,0,0.03,0,medium
T0350,14.0,0.405,0.459,0.537,47.6,0,0.01,0,low
T0351,21.0,0.264,0.777,0.777,44.0,0,0.0,0,low
T0352,5.7,0.583,0.624,0.585,56.6,0,0.0,0,low
T0353,0.9,0.645,0.506,0.569,50.2,0,0.01,0,low
T0354,5.2,0.558,0.63,0.554,52.0,0,0.0,0,low
T0355,23.0,0.527,0.786,0.624,60.1,0,0.04,0,medium
T0356,4.7,0.427,0.817,0.867,37.0,0,0.0,0,low
T0357,22.2,0.385,0.885,0.748,51.0,0,0.03,0,medium
T0358,5.3,0.408,0.836,0.817,40.3,0,0.0,0,low
T0359,9.5,0.46,0.704,0.59,44.2,0,0.0,0,low
T0360,11.1,0.578,0.663,0.595,52.1,0,0.01,0,low
T0361,4.7,0.768,0.59,0.689,47.9,0,0.0,0,low
T0362,9.6,0.464,0.546,0.495,55.9,0,0.01,0,low
T0363,2.7,0.761,0.536,0.526,58.2,0,0.01,0,low
T0364,8.6,0.865,0.707,0.662,51.8,0,0.0,0,low
T0365,10.4,0.349,0.555,0.607,47.5,0,0.0,0,low
T0366,1.0,0.268,0.586,0.513,52.5,0,0.01,0,low
T0367,5.2,0.576,0.452,0.469,48.4,0,0.09,0,medium
T0368,13.7,0.444,0.725,0.716,53.2,0,0.0,0,low
T0369,4.2,0.733,0.83,0.676,53.0,0,0.02,0,medium
T0370,15.3,0.699,0.251,0.473,67.5,1,0.95,1,high
T0371,16.3,0.722,0.817,0.784,59.1,0,0.08,0,medium
T0372,13.6,0.61,0.945,0.608,54.5,0,0.05,0,medium
T0373,18.9,0.692,0.679,0.66,61.0,0,0.02,0,medium
T0374,2.5,0.292,0.353,0.469,45.9,0,0.04,0,medium
T0375,21.6,0.548,0.777,0.84,55.4,0,0.09,0,medium
T0376,4.7,0.557,0.356,0.355,48.1,0,0.15,0,high
T0377,12.0,0.54,0.675,0.58,60.9,0,0.01,0,low
T0378,33.3,0.232,0.522,0.704,63.8,1,0.72,1,high
T0379,8.4,0.44,0.874,0.759,41.8,0,0.0,0,low
T0380,11.3,0.531,0.463,0.601,52.1,0,0.02,0,medium
T0381,4.8,0.49,0.467,0.648,46.8,0,0.0,0,low
T0382,33.1,0.399,0.385,0.4,61.7,1,0.89,1,high
T0383,5.2,0.448,0.636,0.621,38.5,0,0.0,0,low
T0384,17.3,0.343,0.626,0.683,48.3,0,0.02,0,medium
T0385,24.9,0.602,0.537,0.579,62.0,1,0.74,1,high
T0386,18.4,0.676,0.657,0.713,51.9,0,0.03,0,medium
T0387,14.2,0.652,0.76,0.706,57.1,0,0.0,0,low
T0388,11.9,0.212,0.503,0.651,51.9,0,0.0,0,low
T0389,3.6,0.867,0.608,0.638,60.0,1,0.84,1,high
T0390,32.2,0.863,0.712,0.648,72.0,1,0.77,1,high
T0391,13.4,0.697,0.72,0.621,49.0,0,0.12,0,high
T0392,11.3,0.633,0.953,0.78,56.3,0,0.02,0,medium
T0393,4.4,0.738,0.887,0.77,51.8,0,0.01,0,low
T0394,11.7,0.32,0.661,0.622,51.0,1,0.65,1,high
T0395,10.8,0.763,0.281,0.449,70.9,1,0.86,1,high
T0396,33.3,0.701,0.758,0.69,64.9,1,0.72,1,high
T0397,11.3,0.735,0.758,0.701,41.9,0,0.03,0,medium
T0398,11.6,0.445,0.358,0.39,50.4,0,0.11,0,high
T0399,4.5,0.686,0.799,0.747,52.8,0,0.01,0,low
T0400,6.1,0.272,0.503,0.645,44.2,0,0.0,0,low
T0401,15.9,0.788,0.619,0.63,55.5,1,0.58,1,high
T0402,2.0,0.175,0.544,0.629,32.6,0,0.0,0,low
T0403,21.5,0.598,0.505,0.531,60.7,0,0.08,0,medium
