transformer_id,month_offset,oil_quality_index,temperature_rise_c,load_factor
T0015,10,0.785,58.8,0.608
T0015,11,0.771,59.2,0.587
T0016,0,0.0,49.5,0.486
T0016,1,0.017,48.3,0.418
T0016,2,0.0,51.4,0.46
T0016,3,0.067,50.9,0.45
T0016,4,0.067,47.8,0.393
T0016,5,0.069,49.6,0.385
T0016,6,0.093,52.3,0.39
T0016,7,0.137,51.9,0.337
T0016,8,0.128,52.0,0.31
T0016,9,0.15,51.7,0.317
T0016,10,0.175,53.0,0.271
T0016,11,0.18,50.4,0.271
T0017,0,0.657,36.1,0.342
T0017,1,0.645,39.0,0.382
T0017,2,0.678,39.0,0.367
T0017,3,0.713,38.5,0.43
T0017,4,0.656,40.2,0.37
T0017,5,0.672,41.3,0.401
T0017,6,0.651,43.4,0.403
T0017,7,0.599,40.5,0.404
T0017,8,0.674,39.5,0.413
T0017,9,0.636,41.4,0.441
T0017,10,0.663,41.4,0.463
T0017,11,0.627,44.2,0.452
T0018,0,0.981,35.1,0.686
T0018,1,0.901,36.7,0.705
T0018,2,0.935,40.8,0.634
T0018,3,0.894,40.0,0.664
T0018,4,0.894,41.3,0.617
T0018,5,0.862,42.4,0.608
T0018,6,0.893,44.8,0.638
T0018,7,0.892,46.8,0.605
T0018,8,0.881,48.6,0.57
T0018,9,0.821,51.2,0.558
T0018,10,0.837,50.8,0.598
T0018,11,0.833,50.8,0.528
T0019,0,0.581,67.8,0.217
T0019,1,0.554,67.9,0.242
T0019,2,0.566,67.0,0.238
T0019,3,0.591,67.7,0.251
T0019,4,0.573,67.1,0.239
T0019,5,0.624,65.1,0.261
T0019,6,0.593,67.7,0.311
T0019,7,0.58,66.6,0.304
T0019,8,0.588,64.5,0.364
T0019,9,0.607,67.9,0.32
T0019,10,0.631,69.4,0.382
T0019,11,0.622,67.1,0.359
T0020,0,0.578,69.8,0.544
T0020,1,0.585,68.9,0.54
T0020,2,0.574,65.4,0.588
T0020,3,0.602,68.9,0.57
T0020,4,0.541,65.7,0.569
T0020,5,0.533,66.4,0.642
T0020,6,0.558,68.3,0.63
T0020,7,0.519,67.3,0.678
T0020,8,0.499,64.2,0.674
T0020,9,0.501,64.2,0.688
T0020,10,0.489,67.0,0.708
T0020,11,0.474,66.1,0.712
T0021,0,0.387,66.1,0.679
T0021,1,0.407,65.8,0.712
T0021,2,0.405,67.2,0.717
T0021,3,0.435,65.0,0.731
T0021,4,0.413,68.2,0.742
T0021,5,0.402,67.1,0.745
T0021,6,0.424,65.6,0.752
T0021,7,0.449,67.5,0.761
T0021,8,0.455,66.4,0.77
T0021,9,0.418,70.0,0.772
T0021,10,0.455,68.3,0.786
T0021,11,0.478,72.0,0.747
T0022,0,0.373,70.2,0.645
T0022,1,0.373,69.4,0.619
T0022,2,0.39,69.7,0.601
T0022,3,0.364,68.1,0.621
T0022,4,0.428,67.0,0.588
T0022,5,0.445,67.2,0.612
T0022,6,0.453,66.1,0.527
T0022,7,0.456,65.1,0.586
T0022,8,0.487,62.8,0.552
T0022,9,0.542,62.0,0.523
T0022,10,0.506,59.8,0.508
T0022,11,0.481,61.5,0.514
T0023,0,0.342,56.7,0.433
T0023,1,0.365,61.0,0.421
T0023,2,0.394,59.5,0.456
T0023,3,0.422,58.7,0.46
T0023,4,0.419,55.8,0.474
T0023,5,0.434,57.2,0.477
T0023,6,0.419,56.2,0.491
T0023,7,0.509,57.6,0.536
T0023,8,0.533,56.1,0.537
T0023,9,0.507,55.8,0.523
T0023,10,0.535,52.9,0.563
T0023,11,0.574,57.2,0.595
T0024,0,0.577,60.3,0.418
T0024,1,0.586,60.6,0.368
T0024,2,0.621,61.8,0.401
T0024,3,0.613,59.6,0.46
T0024,4,0.661,59.0,0.436
T0024,5,0.629,60.1,0.475
T0024,6,0.64,59.5,0.479
T0024,7,0.646,59.6,0.502
T0024,8,0.697,57.2,0.453
T0024,9,0.689,55.0,0.536
T0024,10,0.701,56.2,0.503
T0024,11,0.679,56.4,0.545
T0025,0,1.0,52.7,0.159
T0025,1,0.996,50.9,0.218
T0025,2,0.993,51.9,0.194
T0025,3,0.987,49.6,0.244
T0025,4,0.955,53.6,0.295
T0025,5,0.961,54.0,0.292
T0025,6,0.929,52.3,0.307
T0025,7,0.89,52.1,0.323
T0025,8,0.886,52.5,0.353
T0025,9,0.901,51.0,0.365
T0025,10,0.831,53.4,0.366
T0025,11,0.837,55.3,0.434
T0026,0,0.715,42.6,0.322
T0026,1,0.715,41.2,0.355
T0026,2,0.735,44.9,0.288
T0026,3,0.755,43.2,0.282
T0026,4,0.725,49.7,0.293
T0026,5,0.743,45.0,0.286
T0026,6,0.705,46.1,0.289
T0026,7,0.753,48.8,0.265
T0026,8,0.765,47.5,0.288
T0026,9,0.759,48.6,0.238
T0026,10,0.766,50.4,0.244
T0026,11,0.737,53.2,0.284
T0027,0,0.088,46.2,0.1
T0027,1,0.102,43.1,0.1
T0027,2,0.158,45.2,0.106
T0027,3,0.141,45.0,0.143
T0027,4,0.175,44.1,0.13
T0027,5,0.178,44.8,0.108
T0027,6,0.172,43.7,0.109
T0027,7,0.239,43.5,0.19
T0027,8,0.25,40.2,0.179
T0027,9,0.288,41.0,0.204
T0027,10,0.32,39.2,0.188
T0027,11,0.346,41.5,0.206
T0028,0,0.439,51.0,0.893
T0028,1,0.444,49.2,0.88
T0028,2,0.433,50.9,0.895
T0028,3,0.435,53.1,0.852
T0028,4,0.422,56.8,0.806
T0028,5,0.414,51.2,0.821
T0028,6,0.461,56.5,0.836
T0028,7,0.441,57.6,0.812
T0028,8,0.41,58.6,0.813
T0028,9,0.438,59.3,0.806
T0028,10,0.419,60.7,0.775
T0028,11,0.415,57.1,0.735
T0029,0,0.473,45.1,0.616
T0029,1,0.497,47.1,0.576
T0029,2,0.516,46.3,0.584
T0029,3,0.492,48.7,0.56
T0029,4,0.529,45.4,0.589
T0029,5,0.478,51.9,0.556
T0029,6,0.467,50.9,0.539
T0029,7,0.502,52.9,0.527
T0029,8,0.489,51.3,0.503
T0029,9,0.493,50.3,0.507
T0029,10,0.538,54.2,0.488
T0029,11,0.542,56.0,0.516
T0030,0,0.776,53.7,0.995
T0030,1,0.722,52.3,0.967
T0030,2,0.785,53.4,0.984
T0030,3,0.768,51.4,1.0
T0030,4,0.799,50.4,0.942
T0030,5,0.812,49.8,0.96
T0030,6,0.774,52.9,0.95
T0030,7,0.772,49.4,0.917
T0030,8,0.805,52.1,0.932
T0030,9,0.808,49.2,0.937
T0030,10,0.849,46.5,0.9
T0030,11,0.822,49.7,0.894
T0031,0,0.547,42.0,0.303
T0031,1,0.577,42.9,0.305
T0031,2,0.581,42.2,0.292
T0031,3,0.581,44.8,0.337
T0031,4,0.595,42.6,0.35
T0031,5,0.623,44.7,0.367
T0031,6,0.631,46.9,0.393
T0031,7,0.614,46.8,0.397
T0031,8,0.596,48.7,0.403
T0031,9,0.611,44.7,0.406
T0031,10,0.621,48.0,0.47
T0031,11,0.658,48.0,0.419
T0032,0,0.309,38.7,0.345
T0032,1,0.326,35.8,0.331
T0032,2,0.402,41.6,0.324
T0032,3,0.383,38.4,0.339
T0032,4,0.388,41.5,0.315
T0032,5,0.406,44.6,0.325
T0032,6,0.405,43.9,0.311
T0032,7,0.427,43.3,0.327
T0032,8,0.436,45.7,0.368
T0032,9,0.445,47.3,0.335
T0032,10,0.46,47.3,0.324
T0032,11,0.459,48.2,0.294
T0033,0,0.54,55.3,0.44
T0033,1,0.567,58.5,0.481
T0033,2,0.569,58.5,0.478
T0033,3,0.575,57.2,0.495
T0033,4,0.563,57.9,0.469
T0033,5,0.565,61.8,0.521
T0033,6,0.596,62.0,0.534
T0033,7,0.598,60.9,0.549
T0033,8,0.597,63.1,0.527
T0033,9,0.621,65.8,0.547
T0033,10,0.606,62.9,0.572
T0033,11,0.614,66.8,0.576
T0034,0,0.266,36.3,0.496
T0034,1,0.329,39.6,0.511
T0034,2,0.322,40.3,0.46
T0034,3,0.35,38.4,0.45
T0034,4,0.392,42.3,0.444
T0034,5,0.416,43.3,0.43
T0034,6,0.411,39.3,0.381
T0034,7,0.461,43.7,0.372
T0034,8,0.487,40.5,0.379
T0034,9,0.522,41.2,0.378
T0034,10,0.496,44.0,0.324
T0034,11,0.53,42.9,0.307
T0035,0,0.594,43.7,0.584
T0035,1,0.633,45.2,0.599
T0035,2,0.625,42.1,0.616
T0035,3,0.67,43.2,0.65
T0035,4,0.682,46.4,0.64
T0035,5,0.669,44.4,0.679
T0035,6,0.68,47.3,0.675
T0035,7,0.684,48.1,0.739
T0035,8,0.74,52.2,0.702
T0035,9,0.771,48.7,0.744
T0035,10,0.753,48.8,0.759
T0035,11,0.783,50.8,0.773
T0036,0,0.768,53.9,0.425
T0036,1,0.812,53.7,0.411
T0036,2,0.773,55.5,0.442
T0036,3,0.78,53.0,0.482
T0036,4,0.828,54.2,0.497
T0036,5,0.836,52.8,0.534
T0036,6,0.798,52.9,0.516
T0036,7,0.799,55.1,0.529
T0036,8,0.812,55.1,0.534
T0036,9,0.802,53.3,0.552
T0036,10,0.826,55.2,0.545
T0036,11,0.828,55.1,0.61
T0037,0,0.508,63.7,0.125
T0037,1,0.471,62.3,0.1
T0037,2,0.475,58.9,0.124
T0037,3,0.495,62.3,0.119
T0037,4,0.477,62.6,0.186
T0037,5,0.469,59.5,0.185
T0037,6,0.441,65.3,0.194
T0037,7,0.457,60.3,0.212
T0037,8,0.423,62.8,0.224
T0037,9,0.416,62.0,0.241
T0037,10,0.425,62.6,0.272
T0037,11,0.387,61.1,0.241
T0038,0,0.714,51.6,0.329
T0038,1,0.726,53.9,0.325
T0038,2,0.724,50.8,0.341
T0038,3,0.708,54.8,0.272
T0038,4,0.676,49.9,0.368
T0038,5,0.704,50.5,0.304
T0038,6,0.684,48.2,0.285
T0038,7,0.663,48.7,0.286
T0038,8,0.68,48.2,0.289
T0038,9,0.606,45.7,0.288
T0038,10,0.664,44.9,0.301
T0038,11,0.667,43.6,0.276
T0039,0,0.834,54.1,0.453
T0039,1,0.791,55.5,0.475
T0039,2,0.766,56.9,0.434
T0039,3,0.707,57.7,0.463
T0039,4,0.761,58.3,0.46
T0039,5,0.686,57.0,0.452
T0039,6,0.67,56.6,0.426
T0039,7,0.661,59.1,0.43
T0039,8,0.585,54.6,0.439
T0039,9,0.581,58.9,0.468
T0039,10,0.55,55.7,0.44
T0039,11,0.549,55.6,0.404
T0040,0,1.0,58.7,0.465
T0040,1,1.0,50.8,0.476
T0040,2,1.0,51.6,0.43
T0040,3,0.954,54.2,0.396
T0040,4,0.975,50.8,0.498
T0040,5,0.991,48.6,0.444
T0040,6,0.944,50.4,0.467
T0040,7,0.918,52.0,0.452
T0040,8,0.918,51.2,0.475
T0040,9,0.909,51.7,0.444
T0040,10,0.916,52.3,0.454
T0040,11,0.867,48.0,0.465
T0041,0,0.049,42.4,0.292
T0041,1,0.076,42.0,0.268
T0041,2,0.11,44.2,0.285
T0041,3,0.101,44.5,0.27
T0041,4,0.136,45.0,0.31
T0041,5,0.16,44.4,0.314
T0041,6,0.214,44.4,0.278
T0041,7,0.215,44.7,0.296
T0041,8,0.236,49.2,0.249
T0041,9,0.339,50.3,0.27
T0041,10,0.318,47.3,0.25
T0041,11,0.326,50.0,0.238
T0042,0,0.855,63.4,0.819
T0042,1,0.845,65.8,0.83
T0042,2,0.853,63.6,0.864
T0042,3,0.858,64.5,0.842
T0042,4,0.829,64.0,0.878
T0042,5,0.823,64.1,0.912
T0042,6,0.832,62.6,0.869
T0042,7,0.798,63.2,0.89
T0042,8,0.789,62.1,0.914
T0042,9,0.814,63.3,0.899
T0042,10,0.801,63.7,0.943
T0042,11,0.764,59.7,0.964
T0043,0,0.689,50.0,0.375
T0043,1,0.681,47.7,0.367
T0043,2,0.673,49.5,0.329
T0043,3,0.651,44.4,0.36
T0043,4,0.687,47.7,0.31
T0043,5,0.632,48.0,0.362
T0043,6,0.609,46.9,0.343
T0043,7,0.59,46.1,0.298
T0043,8,0.604,45.3,0.3
T0043,9,0.561,44.6,0.285
T0043,10,0.558,42.2,0.279
T0043,11,0.545,43.1,0.261
T0044,0,0.367,53.4,0.595
T0044,1,0.354,53.5,0.58
T0044,2,0.324,55.1,0.554
T0044,3,0.325,52.1,0.571
T0044,4,0.35,54.7,0.539
T0044,5,0.316,53.2,0.58
T0044,6,0.307,56.6,0.544
T0044,7,0.344,51.3,0.527
T0044,8,0.348,56.3,0.557
T0044,9,0.328,54.3,0.535
T0044,10,0.318,55.6,0.523
T0044,11,0.323,54.6,0.549
T0045,0,0.209,48.7,0.551
T0045,1,0.193,48.4,0.558
T0045,2,0.253,49.2,0.479
T0045,3,0.273,50.0,0.517
T0045,4,0.278,49.1,0.513
T0045,5,0.334,49.7,0.512
T0045,6,0.324,48.4,0.445
T0045,7,0.382,48.3,0.478
T0045,8,0.372,47.7,0.442
T0045,9,0.389,45.3,0.467
T0045,10,0.43,48.8,0.434
T0045,11,0.456,48.3,0.441
T0046,0,0.381,55.8,0.194
T0046,1,0.381,55.3,0.181
T0046,2,0.374,52.9,0.22
T0046,3,0.404,55.9,0.212
T0046,4,0.393,50.8,0.209
T0046,5,0.387,53.2,0.205
T0046,6,0.377,53.2,0.232
T0046,7,0.357,51.9,0.261
T0046,8,0.425,53.3,0.258
T0046,9,0.404,46.2,0.259
T0046,10,0.409,49.5,0.26
T0046,11,0.435,48.7,0.263
T0047,0,0.47,44.1,0.322
T0047,1,0.498,41.4,0.292
T0047,2,0.499,42.3,0.294
T0047,3,0.536,41.9,0.287
T0047,4,0.53,41.0,0.265
T0047,5,0.556,42.0,0.271
T0047,6,0.546,43.6,0.251
T0047,7,0.59,43.8,0.263
T0047,8,0.599,42.1,0.249
T0047,9,0.589,41.5,0.262
T0047,10,0.639,40.8,0.26
T0047,11,0.596,41.0,0.25
T0048,0,0.597,59.2,0.839
T0048,1,0.591,57.2,0.899
T0048,2,0.574,58.5,0.892
T0048,3,0.584,57.3,0.851
T0048,4,0.561,58.4,0.853
T0048,5,0.537,58.1,0.832
T0048,6,0.525,60.3,0.831
T0048,7,0.525,57.2,0.873
T0048,8,0.538,62.8,0.812
T0048,9,0.551,59.9,0.839
T0048,10,0.536,58.5,0.781
T0048,11,0.504,61.4,0.839
T0049,0,0.705,41.3,0.316
T0049,1,0.7,42.9,0.327
T0049,2,0.704,43.8,0.362
T0049,3,0.675,44.2,0.296
T0049,4,0.655,44.9,0.317
T0049,5,0.649,44.5,0.329
T0049,6,0.627,48.5,0.354
T0049,7,0.623,47.8,0.376
T0049,8,0.571,50.0,0.363
T0049,9,0.557,50.5,0.415
T0049,10,0.515,51.7,0.375
T0049,11,0.521,53.5,0.38
T0050,0,0.741,59.6,0.399
T0050,1,0.733,57.9,0.38
T0050,2,0.726,56.7,0.409
T0050,3,0.694,55.0,0.396
T0050,4,0.689,53.9,0.373
T0050,5,0.688,53.2,0.399
T0050,6,0.719,52.7,0.381
T0050,7,0.683,49.2,0.374
T0050,8,0.625,49.6,0.35
T0050,9,0.657,49.4,0.32
T0050,10,0.648,46.5,0.332
T0050,11,0.649,49.6,0.369
T0051,0,0.374,75.5,0.597
T0051,1,0.383,72.9,0.58
T0051,2,0.399,72.0,0.554
T0051,3,0.397,70.9,0.561
T0051,4,0.404,69.3,0.507
T0051,5,0.432,65.6,0.527
T0051,6,0.478,66.1,0.554
T0051,7,0.462,61.5,0.513
T0051,8,0.467,63.5,0.499
T0051,9,0.469,60.0,0.481
T0051,10,0.524,56.4,0.492
T0051,11,0.511,56.6,0.443
T0052,0,0.584,57.4,0.764
T0052,1,0.557,54.2,0.774
T0052,2,0.529,55.4,0.792
T0052,3,0.538,52.0,0.788
T0052,4,0.579,54.8,0.803
T0052,5,0.51,51.7,0.757
T0052,6,0.525,51.5,0.743
T0052,7,0.516,53.2,0.783
T0052,8,0.475,51.6,0.784
T0052,9,0.482,49.8,0.799
T0052,10,0.44,48.5,0.778
T0052,11,0.49,49.5,0.786
T0053,0,0.434,49.2,0.354
T0053,1,0.427,48.0,0.35
T0053,2,0.42,48.7,0.371
T0053,3,0.423,47.0,0.405
T0053,4,0.425,48.3,0.411
T0053,5,0.399,47.5,0.378
T0053,6,0.402,47.2,0.369
T0053,7,0.391,48.3,0.346
T0053,8,0.481,49.5,0.355
T0053,9,0.427,49.4,0.366
T0053,10,0.413,53.3,0.383
T0053,11,0.443,50.5,0.386
T0054,0,0.592,45.0,0.678
T0054,1,0.581,49.1,0.662
T0054,2,0.541,50.0,0.663
T0054,3,0.553,51.0,0.644
T0054,4,0.517,51.6,0.623
T0054,5,0.506,50.8,0.634
T0054,6,0.543,54.9,0.56
T0054,7,0.516,52.8,0.595
T0054,8,0.495,51.2,0.568
T0054,9,0.461,53.0,0.536
T0054,10,0.469,53.4,0.509
T0054,11,0.407,55.5,0.504
T0055,0,0.351,88.4,0.732
T0055,1,0.337,81.4,0.729
T0055,2,0.339,82.5,0.737
T0055,3,0.324,80.7,0.726
T0055,4,0.373,79.3,0.715
T0055,5,0.375,78.2,0.712
T0055,6,0.391,75.7,0.693
T0055,7,0.366,75.4,0.731
T0055,8,0.36,71.8,0.647
T0055,9,0.363,68.2,0.731
T0055,10,0.358,70.4,0.698
T0055,11,0.383,68.5,0.705
T0056,0,0.494,65.4,0.754
T0056,1,0.467,65.6,0.721
T0056,2,0.448,62.4,0.702
T0056,3,0.493,62.9,0.742
T0056,4,0.463,65.1,0.728
T0056,5,0.467,64.8,0.695
T0056,6,0.448,63.6,0.675
T0056,7,0.439,65.7,0.634
T0056,8,0.473,65.2,0.587
T0056,9,0.42,63.2,0.584
T0056,10,0.415,64.2,0.575
T0056,11,0.418,61.9,0.565
T0057,0,0.752,44.8,0.742
T0057,1,0.749,43.3,0.632
T0057,2,0.731,45.1,0.656
T0057,3,0.743,46.7,0.649
T0057,4,0.793,44.0,0.626
T0057,5,0.747,46.7,0.599
T0057,6,0.754,46.2,0.633
T0057,7,0.758,46.3,0.573
T0057,8,0.811,47.4,0.572
T0057,9,0.79,46.4,0.524
T0057,10,0.807,48.0,0.514
T0057,11,0.764,48.8,0.467
T0058,0,0.736,43.3,0.716
T0058,1,0.735,43.5,0.716
T0058,2,0.723,44.0,0.758
T0058,3,0.753,45.7,0.714
T0058,4,0.772,46.3,0.751
T0058,5,0.75,49.4,0.767
T0058,6,0.783,48.9,0.761
T0058,7,0.802,49.5,0.808
T0058,8,0.786,50.3,0.793
T0058,9,0.761,51.8,0.794
T0058,10,0.765,53.4,0.792
T0058,11,0.814,50.7,0.765
T0059,0,0.789,41.5,0.112
T0059,1,0.787,45.8,0.131
T0059,2,0.76,42.9,0.119
T0059,3,0.772,45.9,0.116
T0059,4,0.752,42.7,0.109
T0059,5,0.7,43.1,0.114
T0059,6,0.693,42.2,0.18
T0059,7,0.646,43.3,0.198
T0059,8,0.643,43.7,0.185
T0059,9,0.613,43.7,0.225
T0059,10,0.623,43.7,0.219
T0059,11,0.577,41.8,0.244
T0060,0,0.741,61.2,0.254
T0060,1,0.767,62.4,0.275
T0060,2,0.742,61.3,0.295
T0060,3,0.698,61.9,0.303
T0060,4,0.733,64.4,0.322
T0060,5,0.697,59.5,0.337
T0060,6,0.708,60.2,0.297
T0060,7,0.712,61.7,0.329
T0060,8,0.667,56.9,0.325
T0060,9,0.658,60.1,0.339
T0060,10,0.666,56.2,0.318
T0060,11,0.64,59.0,0.339
T0061,0,0.613,54.0,0.972
T0061,1,0.601,52.4,0.983
T0061,2,0.619,53.1,0.952
T0061,3,0.62,52.6,0.958
T0061,4,0.606,53.4,0.933
T0061,5,0.606,52.6,0.91
T0061,6,0.611,53.7,0.911
T0061,7,0.575,52.9,0.891
T0061,8,0.615,52.8,0.927
T0061,9,0.601,52.8,0.921
T0061,10,0.584,53.8,0.895
T0061,11,0.612,54.2,0.887
T0062,0,0.502,57.3,0.709
T0062,1,0.489,58.3,0.719
T0062,2,0.5,57.5,0.679
T0062,3,0.551,56.2,0.712
T0062,4,0.577,57.7,0.67
T0062,5,0.554,58.4,0.704
T0062,6,0.586,58.0,0.728
T0062,7,0.597,54.4,0.732
T0062,8,0.577,53.8,0.737
T0062,9,0.663,57.6,0.707
T0062,10,0.69,52.9,0.713
T0062,11,0.685,55.5,0.716
T0063,0,0.622,52.0,0.42
T0063,1,0.63,47.9,0.43
T0063,2,0.627,50.3,0.41
T0063,3,0.659,50.7,0.423
T0063,4,0.648,48.9,0.389
T0063,5,0.666,48.4,0.4
T0063,6,0.662,46.7,0.411
T0063,7,0.661,48.9,0.47
T0063,8,0.664,47.9,0.43
T0063,9,0.706,48.3,0.458
T0063,10,0.728,46.6,0.4
T0063,11,0.732,47.2,0.44
T0064,0,0.582,47.5,0.66
T0064,1,0.551,46.4,0.612
T0064,2,0.568,50.9,0.607
T0064,3,0.592,47.7,0.588
T0064,4,0.552,49.2,0.573
T0064,5,0.549,46.4,0.568
T0064,6,0.55,50.0,0.586
T0064,7,0.574,45.3,0.583
T0064,8,0.532,44.7,0.595
T0064,9,0.564,45.1,0.544
T0064,10,0.584,44.0,0.584
T0064,11,0.566,43.3,0.564
T0065,0,0.732,45.6,0.505
T0065,1,0.724,47.0,0.576
T0065,2,0.742,50.1,0.537
T0065,3,0.71,48.1,0.608
T0065,4,0.712,50.4,0.568
T0065,5,0.72,49.8,0.549
