feeder_id,outage_risk_score,risk_tier,risk_tier_order,status,alert_flag,top_reasons
F282,81.0,emergency,4,Emergency,1,"high vegetation_encroachment_score, high peak_load_pct, high feeder_age_years"
F192,79.6,emergency,4,Emergency,1,"high feeder_age_years, high emergency_transformer_count, low historical_outage_count_1yr"
F329,79.3,emergency,4,Emergency,1,"high historical_outage_count_1yr, high peak_load_pct, low feeder_age_years"
F374,78.1,emergency,4,Emergency,1,"high feeder_age_years, high vegetation_encroachment_score, low load_growth_rate"
F224,77.6,emergency,4,Emergency,1,"high vegetation_encroachment_score, high feeder_age_years, high protection_equipment_age"
F338,77.5,emergency,4,Emergency,1,"high feeder_age_years, high vegetation_encroachment_score, high peak_load_pct"
F020,77.3,emergency,4,Emergency,1,"high load_growth_rate, high vegetation_encroachment_score, high historical_outage_count_1yr"
F231,76.8,emergency,4,Emergency,1,"high emergency_transformer_count, high historical_outage_count_1yr, high protection_equipment_age"
F206,76.7,emergency,4,Emergency,1,"high feeder_age_years, high vegetation_encroachment_score, high peak_load_pct"
F178,76.6,emergency,4,Emergency,1,"high feeder_age_years, high vegetation_encroachment_score, low load_growth_rate"
F153,76.4,emergency,4,Emergency,1,"high peak_load_pct, high emergency_transformer_count, high load_growth_rate"
F426,76.3,emergency,4,Emergency,1,"high feeder_age_years, high peak_load_pct, low historical_outage_count_1yr"
F136,74.7,elevated,3,Warning,1,"high feeder_age_years, high historical_outage_count_1yr, high emergency_transformer_count"
F428,74.6,elevated,3,Warning,1,"high vegetation_encroachment_score, high load_growth_rate, high emergency_transformer_count"
F257,74.4,elevated,3,Warning,1,"high historical_outage_count_1yr, high protection_equipment_age, high peak_load_pct"
F195,74.4,elevated,3,Warning,1,"high vegetation_encroachment_score, high peak_load_pct, high historical_outage_count_1yr"
F470,74.2,elevated,3,Warning,1,"high feeder_age_years, high load_growth_rate, high peak_load_pct"
F048,73.3,elevated,3,Warning,1,"high feeder_age_years, high emergency_transformer_count, high peak_load_pct"
F150,73.1,elevated,3,Warning,1,"high feeder_age_years, high peak_load_pct, high vegetation_encroachment_score"
F160,72.8,elevated,3,Warning,1,"high feeder_age_years, high load_growth_rate, low peak_load_pct"
F326,72.8,elevated,3,Warning,1,"high feeder_age_years, high vegetation_encroachment_score, high emergency_transformer_count"
F125,71.0,elevated,3,Warning,1,"high feeder_age_years, low historical_outage_count_1yr, high peak_load_pct"
F355,69.9,elevated,3,Warning,1,"high peak_load_pct, high vegetation_encroachment_score, high load_growth_rate"
F021,68.8,elevated,3,Warning,1,"high vegetation_encroachment_score, high historical_outage_count_1yr, high peak_load_pct"
F006,68.0,elevated,3,Warning,1,"high feeder_age_years, high peak_load_pct, high vegetation_encroachment_score"
F344,67.1,elevated,3,Warning,1,"high feeder_age_years, high peak_load_pct, low vegetation_encroachment_score"
F316,67.0,elevated,3,Warning,1,"high vegetation_encroachment_score, high historical_outage_count_1yr, high emergency_transformer_count"
F226,65.4,elevated,3,Warning,1,"high feeder_age_years, high protection_equipment_age, high historical_outage_count_1yr"
F500,65.3,elevated,3,Warning,1,"high feeder_age_years, high vegetation_encroachment_score, high protection_equipment_age"
F046,64.9,elevated,3,Warning,1,"high vegetation_encroachment_score, high peak_load_pct, high historical_outage_count_1yr"
F486,64.7,elevated,3,Warning,1,"high peak_load_pct, high historical_outage_count_1yr, high load_growth_rate"
F115,64.7,elevated,3,Warning,1,"high feeder_age_years, high peak_load_pct, high historical_outage_count_1yr"
F030,62.0,elevated,3,Warning,1,"high peak_load_pct, high feeder_age_years, high emergency_transformer_count"
F363,59.7,elevated,3,Warning,1,"high vegetation_encroachment_score, high load_growth_rate, high protection_equipment_age"
F026,59.5,elevated,3,Warning,1,"high peak_load_pct, high protection_equipment_age, high historical_outage_count_1yr"
F120,58.9,elevated,3,Warning,1,"high feeder_age_years, high vegetation_encroachment_score, high peak_load_pct"
F197,56.7,elevated,3,Warning,1,"high feeder_age_years, high historical_outage_count_1yr, high load_growth_rate"
F215,55.9,elevated,3,Warning,1,"high peak_load_pct, high vegetation_encroachment_score, high load_growth_rate"
F018,54.1,elevated,3,Warning,1,"high protection_equipment_age, high load_growth_rate, high peak_load_pct"
F442,53.9,elevated,3,Warning,1,"high vegetation_encroachment_score, high load_growth_rate, low peak_load_pct"
F016,53.1,elevated,3,Warning,1,"high vegetation_encroachment_score, high peak_load_pct, high protection_equipment_age"
F298,53.0,elevated,3,Warning,1,"high peak_load_pct, high vegetation_encroachment_score, low load_growth_rate"
F432,46.6,moderate,2,Warning,1,"high historical_outage_count_1yr, high load_growth_rate, high vegetation_encroachment_score"
F273,44.8,moderate,2,Warning,1,"high vegetation_encroachment_score, high load_growth_rate, high peak_load_pct"
F149,30.4,moderate,2,Warning,0,"high historical_outage_count_1yr, high feeder_age_years, high peak_load_pct"
F109,24.5,moderate,2,Warning,0,"high feeder_age_years, low vegetation_encroachment_score, high load_growth_rate"
F183,23.9,moderate,2,Warning,0,"high feeder_age_years, low vegetation_encroachment_score, high peak_load_pct"
F029,23.5,moderate,2,Warning,0,"high load_growth_rate, high emergency_transformer_count, high vegetation_encroachment_score"
F061,23.3,moderate,2,Warning,0,"high feeder_age_years, high peak_load_pct, low protection_equipment_age"
F455,22.5,moderate,2,Warning,0,"high feeder_age_years, high vegetation_encroachment_score, low load_growth_rate"
F376,22.2,moderate,2,Warning,0,"high feeder_age_years, high emergency_transformer_count, high vegetation_encroachment_score"
F473,21.4,moderate,2,Warning,0,"high feeder_age_years, high peak_load_pct, low emergency_transformer_count"
F440,19.7,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, high emergency_transformer_count"
F343,19.1,low,1,Healthy,0,"high vegetation_encroachment_score, high historical_outage_count_1yr, high emergency_transformer_count"
F430,19.1,low,1,Healthy,0,"high vegetation_encroachment_score, high feeder_age_years, low load_growth_rate"
F371,18.3,low,1,Healthy,0,"high vegetation_encroachment_score, low historical_outage_count_1yr, high peak_load_pct"
F060,17.5,low,1,Healthy,0,"high vegetation_encroachment_score, high peak_load_pct, high feeder_age_years"
F065,17.3,low,1,Healthy,0,"high feeder_age_years, high vegetation_encroachment_score, low historical_outage_count_1yr"
F412,17.1,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, high peak_load_pct"
F436,16.5,low,1,Healthy,0,"high feeder_age_years, high peak_load_pct, low historical_outage_count_1yr"
F102,16.3,low,1,Healthy,0,"high historical_outage_count_1yr, low feeder_age_years, high load_growth_rate"
F024,14.8,low,1,Healthy,0,"high historical_outage_count_1yr, high peak_load_pct, low feeder_age_years"
F141,14.5,low,1,Healthy,0,"high emergency_transformer_count, low historical_outage_count_1yr, low load_growth_rate"
F288,13.6,low,1,Healthy,0,"high vegetation_encroachment_score, high peak_load_pct, low feeder_age_years"
F285,13.4,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, low load_growth_rate"
F342,13.4,low,1,Healthy,0,"high vegetation_encroachment_score, high peak_load_pct, high historical_outage_count_1yr"
F144,13.3,low,1,Healthy,0,"high peak_load_pct, high vegetation_encroachment_score, low feeder_age_years"
F059,12.7,low,1,Healthy,0,"high feeder_age_years, high vegetation_encroachment_score, low historical_outage_count_1yr"
F328,12.6,low,1,Healthy,0,"high vegetation_encroachment_score, low protection_equipment_age, high historical_outage_count_1yr"
F119,12.6,low,1,Healthy,0,"high vegetation_encroachment_score, low feeder_age_years, high historical_outage_count_1yr"
F248,12.6,low,1,Healthy,0,"high vegetation_encroachment_score, low protection_equipment_age, low historical_outage_count_1yr"
F366,12.2,low,1,Healthy,0,"high peak_load_pct, high vegetation_encroachment_score, low emergency_transformer_count"
F086,11.9,low,1,Healthy,0,"high peak_load_pct, low feeder_age_years, high emergency_transformer_count"
F037,11.8,low,1,Healthy,0,"high peak_load_pct, high historical_outage_count_1yr, high load_growth_rate"
F325,11.6,low,1,Healthy,0,"high vegetation_encroachment_score, low feeder_age_years, high peak_load_pct"
F495,11.4,low,1,Healthy,0,"high feeder_age_years, high historical_outage_count_1yr, low peak_load_pct"
F311,11.4,low,1,Healthy,0,"high emergency_transformer_count, high peak_load_pct, high vegetation_encroachment_score"
F353,11.3,low,1,Healthy,0,"high feeder_age_years, high peak_load_pct, low vegetation_encroachment_score"
F015,11.2,low,1,Healthy,0,"low peak_load_pct, high feeder_age_years, high historical_outage_count_1yr"
F408,11.1,low,1,Healthy,0,"low peak_load_pct, high feeder_age_years, high historical_outage_count_1yr"
F057,10.9,low,1,Healthy,0,"high feeder_age_years, low historical_outage_count_1yr, low emergency_transformer_count"
F297,10.8,low,1,Healthy,0,"high feeder_age_years, high peak_load_pct, low vegetation_encroachment_score"
F175,10.7,low,1,Healthy,0,"low feeder_age_years, high protection_equipment_age, high peak_load_pct"
F239,10.6,low,1,Healthy,0,"low load_growth_rate, high historical_outage_count_1yr, low vegetation_encroachment_score"
F114,10.6,low,1,Healthy,0,"high load_growth_rate, high peak_load_pct, high protection_equipment_age"
F278,10.6,low,1,Healthy,0,"high historical_outage_count_1yr, high peak_load_pct, low feeder_age_years"
F212,10.5,low,1,Healthy,0,"high vegetation_encroachment_score, low peak_load_pct, low feeder_age_years"
F255,10.5,low,1,Healthy,0,"high peak_load_pct, high historical_outage_count_1yr, low feeder_age_years"
F425,9.9,low,1,Healthy,0,"high vegetation_encroachment_score, high peak_load_pct, low feeder_age_years"
F388,9.8,low,1,Healthy,0,"high historical_outage_count_1yr, high vegetation_encroachment_score, high peak_load_pct"
F161,9.6,low,1,Healthy,0,"low vegetation_encroachment_score, high emergency_transformer_count, high feeder_age_years"
F405,9.5,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, low historical_outage_count_1yr"
F124,9.4,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, low protection_equipment_age"
F481,9.2,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, high historical_outage_count_1yr"
F223,9.2,low,1,Healthy,0,"high peak_load_pct, low historical_outage_count_1yr, high vegetation_encroachment_score"
F089,9.2,low,1,Healthy,0,"low vegetation_encroachment_score, high historical_outage_count_1yr, high load_growth_rate"
F421,9.1,low,1,Healthy,0,"high peak_load_pct, high vegetation_encroachment_score, low emergency_transformer_count"
F093,8.9,low,1,Healthy,0,"high historical_outage_count_1yr, high peak_load_pct, low feeder_age_years"
F489,8.8,low,1,Healthy,0,"low feeder_age_years, high peak_load_pct, high historical_outage_count_1yr"
F101,8.7,low,1,Healthy,0,"high vegetation_encroachment_score, low historical_outage_count_1yr, low load_growth_rate"
F152,8.7,low,1,Healthy,0,"low load_growth_rate, high peak_load_pct, high historical_outage_count_1yr"
F299,8.7,low,1,Healthy,0,"high feeder_age_years, low historical_outage_count_1yr, high peak_load_pct"
F240,8.4,low,1,Healthy,0,"high historical_outage_count_1yr, low feeder_age_years, high peak_load_pct"
F383,8.4,low,1,Healthy,0,"high feeder_age_years, low load_growth_rate, high peak_load_pct"
F058,8.2,low,1,Healthy,0,"low feeder_age_years, high peak_load_pct, high protection_equipment_age"
F062,8.1,low,1,Healthy,0,"low feeder_age_years, high vegetation_encroachment_score, high historical_outage_count_1yr"
F267,8.0,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, high emergency_transformer_count"
F409,7.9,low,1,Healthy,0,"high peak_load_pct, low protection_equipment_age, high feeder_age_years"
F461,7.8,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, high historical_outage_count_1yr"
F296,7.6,low,1,Healthy,0,"low peak_load_pct, high load_growth_rate, high feeder_age_years"
F280,7.6,low,1,Healthy,0,"high feeder_age_years, high vegetation_encroachment_score, low load_growth_rate"
F167,7.5,low,1,Healthy,0,"high vegetation_encroachment_score, low historical_outage_count_1yr, low feeder_age_years"
F451,7.4,low,1,Healthy,0,"low vegetation_encroachment_score, high feeder_age_years, high peak_load_pct"
F441,7.3,low,1,Healthy,0,"high vegetation_encroachment_score, low protection_equipment_age, high emergency_transformer_count"
F341,7.3,low,1,Healthy,0,"high vegetation_encroachment_score, low peak_load_pct, low emergency_transformer_count"
F262,7.2,low,1,Healthy,0,"high vegetation_encroachment_score, low feeder_age_years, high peak_load_pct"
F186,7.2,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, high load_growth_rate"
F083,7.1,low,1,Healthy,0,"high peak_load_pct, high vegetation_encroachment_score, low emergency_transformer_count"
F227,7.0,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, low historical_outage_count_1yr"
F418,6.9,low,1,Healthy,0,"high vegetation_encroachment_score, low feeder_age_years, high peak_load_pct"
F218,6.8,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, low emergency_transformer_count"
F354,6.7,low,1,Healthy,0,"low feeder_age_years, high vegetation_encroachment_score, high load_growth_rate"
F064,6.7,low,1,Healthy,0,"high load_growth_rate, high historical_outage_count_1yr, low feeder_age_years"
F266,6.7,low,1,Healthy,0,"low feeder_age_years, high protection_equipment_age, high historical_outage_count_1yr"
F347,6.6,low,1,Healthy,0,"high feeder_age_years, high load_growth_rate, low historical_outage_count_1yr"
F193,6.5,low,1,Healthy,0,"low feeder_age_years, high historical_outage_count_1yr, high peak_load_pct"
F147,6.5,low,1,Healthy,0,"high peak_load_pct, high emergency_transformer_count, low historical_outage_count_1yr"
F365,6.5,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, high emergency_transformer_count"
F040,6.4,low,1,Healthy,0,"high load_growth_rate, low peak_load_pct, high vegetation_encroachment_score"
F330,6.3,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, low protection_equipment_age"
F462,6.3,low,1,Healthy,0,"high peak_load_pct, high vegetation_encroachment_score, low historical_outage_count_1yr"
F100,6.2,low,1,Healthy,0,"high vegetation_encroachment_score, low feeder_age_years, low load_growth_rate"
F414,6.2,low,1,Healthy,0,"high vegetation_encroachment_score, low load_growth_rate, low peak_load_pct"
F225,6.1,low,1,Healthy,0,"low feeder_age_years, high vegetation_encroachment_score, high historical_outage_count_1yr"
F229,6.0,low,1,Healthy,0,"high emergency_transformer_count, high load_growth_rate, low feeder_age_years"
F258,6.0,low,1,Healthy,0,"high historical_outage_count_1yr, low load_growth_rate, low feeder_age_years"
F287,5.9,low,1,Healthy,0,"high peak_load_pct, high feeder_age_years, low protection_equipment_age"
F177,5.9,low,1,Healthy,0,"low feeder_age_years, high vegetation_encroachment_score, high peak_load_pct"
F301,5.8,low,1,Healthy,0,"high feeder_age_years, low historical_outage_count_1yr, low peak_load_pct"
F204,5.8,low,1,Healthy,0,"high vegetation_encroachment_score, low load_growth_rate, high protection_equipment_age"
F022,5.8,low,1,Healthy,0,"high vegetation_encroachment_score, high load_growth_rate, low peak_load_pct"
F047,5.7,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, low historical_outage_count_1yr"
F416,5.7,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, low historical_outage_count_1yr"
F395,5.7,low,1,Healthy,0,"high vegetation_encroachment_score, low load_growth_rate, low feeder_age_years"
F272,5.7,low,1,Healthy,0,"high peak_load_pct, high emergency_transformer_count, low historical_outage_count_1yr"
F113,5.7,low,1,Healthy,0,"high historical_outage_count_1yr, high load_growth_rate, low feeder_age_years"
F232,5.7,low,1,Healthy,0,"low feeder_age_years, high peak_load_pct, high vegetation_encroachment_score"
F276,5.6,low,1,Healthy,0,"low vegetation_encroachment_score, high load_growth_rate, high protection_equipment_age"
F008,5.6,low,1,Healthy,0,"low peak_load_pct, high load_growth_rate, high vegetation_encroachment_score"
F129,5.6,low,1,Healthy,0,"high vegetation_encroachment_score, low historical_outage_count_1yr, low load_growth_rate"
F269,5.6,low,1,Healthy,0,"low feeder_age_years, high peak_load_pct, high load_growth_rate"
F011,5.5,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, high load_growth_rate"
F165,5.5,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, high load_growth_rate"
F077,5.4,low,1,Healthy,0,"low feeder_age_years, high peak_load_pct, high emergency_transformer_count"
F127,5.3,low,1,Healthy,0,"low vegetation_encroachment_score, high peak_load_pct, high emergency_transformer_count"
F292,5.1,low,1,Healthy,0,"low vegetation_encroachment_score, high historical_outage_count_1yr, high peak_load_pct"
F253,5.1,low,1,Healthy,0,"high vegetation_encroachment_score, low load_growth_rate, low emergency_transformer_count"
F303,5.0,low,1,Healthy,0,"low peak_load_pct, high feeder_age_years, low protection_equipment_age"
F323,4.9,low,1,Healthy,0,"high vegetation_encroachment_score, low feeder_age_years, high load_growth_rate"
F372,4.9,low,1,Healthy,0,"low vegetation_encroachment_score, high emergency_transformer_count, high protection_equipment_age"
F056,4.9,low,1,Healthy,0,"low peak_load_pct, low vegetation_encroachment_score, high emergency_transformer_count"
F309,4.8,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, high vegetation_encroachment_score"
F499,4.7,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, high peak_load_pct"
F247,4.7,low,1,Healthy,0,"low feeder_age_years, high protection_equipment_age, high peak_load_pct"
F245,4.7,low,1,Healthy,0,"high historical_outage_count_1yr, low feeder_age_years, low vegetation_encroachment_score"
F250,4.6,low,1,Healthy,0,"high vegetation_encroachment_score, low feeder_age_years, low emergency_transformer_count"
F493,4.6,low,1,Healthy,0,"low feeder_age_years, high vegetation_encroachment_score, high peak_load_pct"
F254,4.5,low,1,Healthy,0,"low feeder_age_years, high vegetation_encroachment_score, high protection_equipment_age"
F349,4.5,low,1,Healthy,0,"high peak_load_pct, high protection_equipment_age, low historical_outage_count_1yr"
F361,4.5,low,1,Healthy,0,"high vegetation_encroachment_score, low load_growth_rate, high peak_load_pct"
F034,4.4,low,1,Healthy,0,"low vegetation_encroachment_score, high historical_outage_count_1yr, high load_growth_rate"
F210,4.4,low,1,Healthy,0,"low protection_equipment_age, high feeder_age_years, low historical_outage_count_1yr"
F001,4.3,low,1,Healthy,0,"low peak_load_pct, high feeder_age_years, high vegetation_encroachment_score"
F317,4.3,low,1,Healthy,0,"low feeder_age_years, high peak_load_pct, high emergency_transformer_count"
F369,4.3,low,1,Healthy,0,"low feeder_age_years, low vegetation_encroachment_score, high historical_outage_count_1yr"
F220,4.3,low,1,Healthy,0,"high vegetation_encroachment_score, low feeder_age_years, low historical_outage_count_1yr"
F444,4.3,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, high load_growth_rate"
F133,4.2,low,1,Healthy,0,"high vegetation_encroachment_score, low historical_outage_count_1yr, low protection_equipment_age"
F322,4.2,low,1,Healthy,0,"low load_growth_rate, high vegetation_encroachment_score, high peak_load_pct"
F118,4.2,low,1,Healthy,0,"low feeder_age_years, high vegetation_encroachment_score, high emergency_transformer_count"
F082,4.2,low,1,Healthy,0,"high peak_load_pct, low load_growth_rate, low feeder_age_years"
F327,4.1,low,1,Healthy,0,"low feeder_age_years, high historical_outage_count_1yr, low emergency_transformer_count"
F466,4.1,low,1,Healthy,0,"low historical_outage_count_1yr, low feeder_age_years, high vegetation_encroachment_score"
F479,4.0,low,1,Healthy,0,"high vegetation_encroachment_score, low historical_outage_count_1yr, low feeder_age_years"
F453,3.9,low,1,Healthy,0,"high feeder_age_years, low historical_outage_count_1yr, low load_growth_rate"
F468,3.9,low,1,Healthy,0,"high peak_load_pct, low feeder_age_years, high emergency_transformer_count"
F308,3.9,low,1,Healthy,0,"high vegetation_encroachment_score, low feeder_age_years, low historical_outage_count_1yr"
F196,3.8,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, low vegetation_encroachment_score"
F279,3.7,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, low peak_load_pct"
F321,3.7,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, low emergency_transformer_count"
F181,3.6,low,1,Healthy,0,"low protection_equipment_age, high feeder_age_years, high peak_load_pct"
F318,3.6,low,1,Healthy,0,"low historical_outage_count_1yr, low feeder_age_years, high protection_equipment_age"
F284,3.6,low,1,Healthy,0,"high load_growth_rate, low emergency_transformer_count, high peak_load_pct"
F358,3.6,low,1,Healthy,0,"low feeder_age_years, high vegetation_encroachment_score, high emergency_transformer_count"
F200,3.6,low,1,Healthy,0,"low feeder_age_years, high peak_load_pct, high vegetation_encroachment_score"
F348,3.5,low,1,Healthy,0,"low protection_equipment_age, high feeder_age_years, high historical_outage_count_1yr"
F191,3.5,low,1,Healthy,0,"high feeder_age_years, low peak_load_pct, high historical_outage_count_1yr"
F433,3.5,low,1,Healthy,0,"high peak_load_pct, low feeder_age_years, low historical_outage_count_1yr"
F494,3.4,low,1,Healthy,0,"high peak_load_pct, low feeder_age_years, high vegetation_encroachment_score"
F260,3.4,low,1,Healthy,0,"low peak_load_pct, high historical_outage_count_1yr, high emergency_transformer_count"
F112,3.4,low,1,Healthy,0,"high peak_load_pct, low historical_outage_count_1yr, high load_growth_rate"
F398,3.3,low,1,Healthy,0,"high emergency_transformer_count, low vegetation_encroachment_score, low feeder_age_years"
F362,3.3,low,1,Healthy,0,"low peak_load_pct, high feeder_age_years, high historical_outage_count_1yr"
F384,3.2,low,1,Healthy,0,"high historical_outage_count_1yr, high peak_load_pct, low load_growth_rate"
F314,3.2,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, low peak_load_pct"
F096,3.1,low,1,Healthy,0,"low peak_load_pct, high historical_outage_count_1yr, high load_growth_rate"
F463,3.1,low,1,Healthy,0,"low load_growth_rate, low vegetation_encroachment_score, high historical_outage_count_1yr"
F107,3.1,low,1,Healthy,0,"high vegetation_encroachment_score, low peak_load_pct, low feeder_age_years"
F429,3.1,low,1,Healthy,0,"low vegetation_encroachment_score, high peak_load_pct, high historical_outage_count_1yr"
F482,3.1,low,1,Healthy,0,"low feeder_age_years, high peak_load_pct, low historical_outage_count_1yr"
F497,3.0,low,1,Healthy,0,"low peak_load_pct, low feeder_age_years, high vegetation_encroachment_score"
F264,3.0,low,1,Healthy,0,"low vegetation_encroachment_score, high historical_outage_count_1yr, high load_growth_rate"
F038,3.0,low,1,Healthy,0,"low feeder_age_years, low peak_load_pct, high vegetation_encroachment_score"
F187,3.0,low,1,Healthy,0,"low peak_load_pct, low vegetation_encroachment_score, high historical_outage_count_1yr"
F207,3.0,low,1,Healthy,0,"low feeder_age_years, high peak_load_pct, low load_growth_rate"
F201,3.0,low,1,Healthy,0,"low vegetation_encroachment_score, high peak_load_pct, high emergency_transformer_count"
F339,3.0,low,1,Healthy,0,"low historical_outage_count_1yr, high protection_equipment_age, low feeder_age_years"
F236,3.0,low,1,Healthy,0,"low vegetation_encroachment_score, high historical_outage_count_1yr, low load_growth_rate"
F351,3.0,low,1,Healthy,0,"low historical_outage_count_1yr, high feeder_age_years, low load_growth_rate"
F467,3.0,low,1,Healthy,0,"low feeder_age_years, high vegetation_encroachment_score, high peak_load_pct"
F437,3.0,low,1,Healthy,0,"high vegetation_encroachment_score, low peak_load_pct, low load_growth_rate"
F320,2.9,low,1,Healthy,0,"low feeder_age_years, high vegetation_encroachment_score, low protection_equipment_age"
F033,2.8,low,1,Healthy,0,"low peak_load_pct, high vegetation_encroachment_score, low emergency_transformer_count"
F145,2.8,low,1,Healthy,0,"low feeder_age_years, low historical_outage_count_1yr, high emergency_transformer_count"
F483,2.7,low,1,Healthy,0,"low vegetation_encroachment_score, high feeder_age_years, high historical_outage_count_1yr"
F080,2.7,low,1,Healthy,0,"low feeder_age_years, low historical_outage_count_1yr, high vegetation_encroachment_score"
F004,2.7,low,1,Healthy,0,"low vegetation_encroachment_score, low feeder_age_years, high historical_outage_count_1yr"
F198,2.6,low,1,Healthy,0,"low protection_equipment_age, low load_growth_rate, high emergency_transformer_count"
F116,2.6,low,1,Healthy,0,"low feeder_age_years, low emergency_transformer_count, low historical_outage_count_1yr"
F390,2.6,low,1,Healthy,0,"high vegetation_encroachment_score, low historical_outage_count_1yr, high peak_load_pct"
F032,2.5,low,1,Healthy,0,"low peak_load_pct, high feeder_age_years, high historical_outage_count_1yr"
F447,2.5,low,1,Healthy,0,"low peak_load_pct, high protection_equipment_age, low vegetation_encroachment_score"
F066,2.4,low,1,Healthy,0,"high feeder_age_years, low vegetation_encroachment_score, low historical_outage_count_1yr"
F315,2.4,low,1,Healthy,0,"high historical_outage_count_1yr, low peak_load_pct, low vegetation_encroachment_score"
F228,2.3,low,1,Healthy,0,"low feeder_age_years, low historical_outage_count_1yr, high vegetation_encroachment_score"
