meter_id,declared_kwh,transformer_feed_estimate_kwh,historical_avg_kwh,pct_drop_recent,night_usage_ratio,area_theft_history_rate,is_theft,feed_vs_declared_ratio,anomaly_score,flagged,tier
M00033,252.4,253.2,246.7,0.066,0.375,0.116,0,1.0031695721077654,-0.04486790203917623,0,high
M00034,95.8,85.9,82.0,0.067,0.342,0.118,0,0.8966597077244259,-0.16455735485558798,0,low
M00035,131.7,141.1,121.6,0.05,0.368,0.075,0,1.0713743356112377,-0.16670035907769426,0,low
M00036,124.6,117.5,121.2,0.049,0.201,0.02,0,0.9430176565008026,-0.14166489492417367,0,medium
M00037,77.1,79.9,87.6,0.038,0.128,0.122,0,1.0363164721141376,-0.15709018002939945,0,medium
M00038,156.0,158.9,156.8,0.088,0.108,0.024,0,1.0185897435897435,-0.1324780447784975,0,medium
M00039,240.4,231.4,241.8,0.058,0.347,0.054,0,0.9625623960066556,-0.047952076488120166,0,high
M00040,134.9,143.9,132.6,0.008,0.293,0.103,0,1.0667160859896219,-0.15302907973625718,0,medium
M00041,165.1,149.4,155.3,0.026,0.189,0.124,0,0.9049061175045428,-0.13542486238077628,0,medium
M00042,79.0,107.2,75.2,0.385,0.514,0.1,1,1.3569620253164558,-0.03806888354162452,0,high
M00043,75.8,83.8,75.4,0.022,0.247,0.02,0,1.1055408970976253,-0.14509397301501892,0,medium
M00044,295.5,280.6,294.4,0.119,0.123,0.137,0,0.9495769881556685,0.04472078369020471,1,high
M00045,117.6,110.5,110.1,0.04,0.293,0.061,0,0.9396258503401361,-0.17225788393172625,0,low
M00046,137.7,142.8,145.4,0.093,0.259,0.083,0,1.0370370370370372,-0.18437209342879946,0,low
M00047,68.3,139.9,62.6,0.403,0.663,0.021,1,2.0483162518301614,0.03740014263939706,1,high
M00048,92.6,138.1,109.7,0.404,0.676,0.1,1,1.4913606911447084,0.010897594641393837,1,high
M00049,155.5,161.8,157.6,0.059,0.342,0.034,0,1.0405144694533763,-0.1617135430345455,0,low
M00050,155.6,147.3,153.7,0.007,0.151,0.166,0,0.9466580976863754,-0.12364647841167509,0,medium
M00051,166.2,165.0,171.3,0.052,0.266,0.107,0,0.9927797833935019,-0.16782028223426415,0,low
M00052,30.3,35.1,42.0,0.005,0.317,0.057,0,1.1584158415841583,-0.06719213638337407,0,high
M00053,22.5,54.1,17.9,0.482,0.607,0.13,1,2.4044444444444446,0.08034879577992604,1,high
M00054,100.7,91.6,90.3,0.113,0.361,0.045,0,0.9096325719960278,-0.15854692404933723,0,low
M00055,239.6,248.2,244.0,0.042,0.385,0.173,0,1.0358931552587647,-0.01785944826020691,0,high
M00056,30.3,31.6,28.7,0.056,0.326,0.086,0,1.0429042904290429,-0.07801948933153019,0,high
M00057,36.6,23.9,34.7,0.058,0.207,0.086,0,0.6530054644808743,-0.025106895107349092,0,high
M00058,26.7,61.7,28.5,0.347,0.464,0.141,1,2.310861423220974,0.0354940587169984,1,high
M00059,115.5,112.5,119.5,0.064,0.207,0.089,0,0.974025974025974,-0.17831176606287702,0,low
M00060,133.8,141.6,131.3,0.115,0.107,0.033,0,1.0582959641255605,-0.11856383906910384,0,high
M00061,101.5,101.8,108.9,0.107,0.135,0.111,0,1.0029556650246305,-0.15581828512577328,0,medium
M00062,60.5,107.9,66.0,0.499,0.619,0.099,1,1.7834710743801654,0.01823480518317111,1,high
M00063,57.9,101.5,57.3,0.472,0.614,0.093,1,1.7530224525043179,0.008881464221783597,1,high
M00064,56.4,58.9,41.9,0.11,0.118,0.162,0,1.0443262411347518,-0.07685495442312873,0,high
M00065,129.7,128.7,127.5,0.104,0.297,0.148,0,0.992289899768697,-0.1746455352422599,0,low
M00066,140.5,142.3,132.3,0.068,0.291,0.048,0,1.012811387900356,-0.17486151552185047,0,low
M00067,109.4,112.7,108.9,0.064,0.169,0.041,0,1.030164533820841,-0.17217301841256605,0,low
M00068,105.0,111.8,119.5,0.044,0.15,0.098,0,1.0647619047619048,-0.16124514356731012,0,low
M00069,21.0,46.1,20.3,0.382,0.554,0.122,1,2.1952380952380954,0.04007073332438704,1,high
M00070,130.2,135.6,126.8,0.067,0.296,0.024,0,1.0414746543778803,-0.1658560012677181,0,low
M00071,38.8,37.1,33.5,0.037,0.212,0.152,0,0.9561855670103094,-0.0934880635220357,0,high
M00072,214.1,216.7,215.1,0.061,0.25,0.094,0,1.0121438580102755,-0.12748529326361224,0,medium
M00073,85.8,84.3,90.4,0.065,0.321,0.172,0,0.9825174825174825,-0.1654329599210615,0,low
M00074,108.3,116.8,98.6,0.088,0.369,0.032,0,1.0784856879039704,-0.16784306572366808,0,low
M00075,165.0,168.1,172.6,0.055,0.256,0.088,0,1.0187878787878788,-0.17182057621231284,0,low
M00076,88.7,88.4,84.8,0.021,0.249,0.149,0,0.9966178128523112,-0.17518554459101993,0,low
M00077,61.6,113.2,82.6,0.256,0.597,0.218,1,1.8376623376623378,0.024136043886973102,1,high
M00078,170.7,181.4,173.0,0.061,0.228,0.1,0,1.0626830697129468,-0.15723645513256923,0,medium
M00079,81.2,71.3,72.3,0.039,0.296,0.19,0,0.8780788177339901,-0.14032636142694827,0,medium
M00080,139.5,136.8,139.6,0.084,0.35,0.045,0,0.9806451612903226,-0.16359044308297171,0,low
M00081,33.4,57.6,37.4,0.39,0.376,0.16,1,1.7245508982035929,-0.0017478524640378579,0,high
M00082,71.0,71.4,71.8,0.049,0.328,0.156,0,1.0056338028169014,-0.16453518069743617,0,low
M00083,89.0,96.7,91.8,0.021,0.343,0.174,0,1.0865168539325842,-0.15514156620762887,0,medium
M00084,102.9,99.0,112.1,0.026,0.151,0.065,0,0.9620991253644314,-0.1553153904925632,0,medium
M00085,192.9,191.3,180.0,0.046,0.182,0.032,0,0.9917055469155003,-0.127468078058392,0,medium
M00086,175.4,171.6,173.8,0.112,0.11,0.212,0,0.9783352337514253,-0.08695690362471598,0,high
M00087,96.4,94.8,97.0,0.116,0.169,0.037,0,0.983402489626556,-0.16053447169357787,0,low
M00088,188.0,188.0,194.7,0.036,0.37,0.16,0,1.0,-0.11140865848794596,0,high
M00089,67.6,71.6,58.5,0.119,0.289,0.15,0,1.0591715976331362,-0.15497003396033426,0,medium
M00090,127.0,124.0,136.3,0.106,0.307,0.105,0,0.9763779527559056,-0.1710429654645232,0,low
M00091,102.2,105.9,100.7,0.102,0.138,0.078,0,1.0362035225048924,-0.1654747802439328,0,low
M00092,53.1,49.6,52.2,0.038,0.192,0.027,0,0.9340866290018832,-0.12108456549670266,0,high
M00093,113.9,109.3,97.8,0.105,0.378,0.265,0,0.9596136962247585,-0.09951348438691338,0,high
M00094,110.0,121.9,111.9,0.05,0.387,0.036,0,1.1081818181818182,-0.15392031867705663,0,medium
M00095,155.1,158.8,164.2,0.098,0.365,0.038,0,1.0238555770470665,-0.15772775443281323,0,low
M00096,89.7,96.4,81.3,0.077,0.112,0.02,0,1.0746934225195095,-0.13023497106310333,0,medium
M00097,145.9,152.4,152.2,0.057,0.236,0.199,0,1.0445510623714873,-0.14900979833534228,0,medium
M00098,234.2,235.5,235.2,0.078,0.273,0.088,0,1.0055508112724167,-0.08011935520966257,0,high
M00099,133.6,128.6,133.7,0.087,0.286,0.186,0,0.9625748502994012,-0.15829075025125328,0,low
M00100,85.1,75.5,80.8,0.065,0.186,0.02,0,0.8871915393654525,-0.13576778799543782,0,medium
M00101,127.6,140.6,132.1,0.112,0.386,0.193,0,1.1018808777429467,-0.10645523540666502,0,high
M00102,64.5,73.5,56.8,0.011,0.352,0.027,0,1.1395348837209303,-0.13191627069294715,0,medium
M00103,52.1,57.3,44.8,0.115,0.317,0.119,0,1.0998080614203454,-0.13018832971137606,0,medium
M00104,178.8,175.6,181.9,0.011,0.383,0.093,0,0.9821029082774049,-0.12362527900734277,0,medium
M00105,177.0,187.9,178.6,0.081,0.24,0.35,0,1.0615819209039548,-0.035466960309722184,0,high
M00106,148.7,145.7,147.2,0.058,0.326,0.048,0,0.9798251513113652,-0.17318382631512852,0,low
M00107,239.4,244.7,229.6,0.105,0.171,0.11,0,1.022138680033417,-0.06692019226200796,0,high
M00108,57.0,48.7,56.1,0.073,0.107,0.066,0,0.8543859649122808,-0.10151797725955214,0,high
M00109,73.7,59.6,73.9,0.019,0.276,0.055,0,0.8086838534599728,-0.11813772201875261,0,high
M00110,104.4,239.4,107.4,0.438,0.697,0.026,1,2.293103448275862,0.09595418969943281,1,high
M00111,211.5,211.7,210.6,0.089,0.252,0.051,0,1.0009456264775414,-0.11717511450516077,0,high
M00112,148.0,153.6,147.9,0.085,0.272,0.035,0,1.037837837837838,-0.1706518373459769,0,low
M00113,49.4,54.3,54.4,0.1,0.19,0.185,0,1.0991902834008096,-0.09899893000341742,0,high
M00114,139.9,136.4,132.7,0.119,0.295,0.051,0,0.9749821300929236,-0.15286748281320095,0,medium
M00115,203.6,220.1,201.1,0.089,0.244,0.26,0,1.081041257367387,-0.02495327644335321,0,high
M00116,110.1,107.6,110.7,0.12,0.127,0.042,0,0.9772933696639419,-0.13519268864574657,0,medium
M00117,80.4,111.4,67.7,0.355,0.665,0.155,1,1.3855721393034826,0.006131329237486494,1,high
M00118,109.6,112.1,106.8,0.116,0.187,0.174,0,1.022810218978102,-0.15207889590159346,0,medium
M00119,148.8,165.3,153.0,0.065,0.104,0.215,0,1.1108870967741935,-0.07968222489351573,0,high
M00120,60.0,59.8,63.0,0.024,0.356,0.198,0,0.9966666666666666,-0.11693259300850706,0,high
M00121,148.1,142.0,147.8,0.099,0.136,0.151,0,0.9588116137744768,-0.14489724352696676,0,medium
M00122,121.3,135.9,124.2,0.099,0.108,0.098,0,1.1203627370156637,-0.12171503821917584,0,high
M00123,127.6,131.3,133.6,0.088,0.138,0.1,0,1.028996865203762,-0.16191854798965466,0,low
M00124,51.9,41.3,58.1,0.104,0.304,0.048,0,0.7957610789980731,-0.09571561349096575,0,high
M00125,73.0,72.7,75.6,0.055,0.348,0.048,0,0.9958904109589042,-0.16516922664333777,0,low
M00126,84.3,85.3,88.8,0.065,0.222,0.191,0,1.0118623962040332,-0.16895153299626503,0,low
M00127,67.2,68.6,61.6,0.088,0.4,0.02,0,1.0208333333333333,-0.13271497166417962,0,medium
M00128,135.0,137.8,125.9,0.061,0.397,0.079,0,1.0207407407407407,-0.16692335295104438,0,low
M00129,37.8,82.7,39.3,0.276,0.402,0.156,1,2.187830687830688,0.006656425695858559,1,high
M00130,170.1,176.9,165.7,0.105,0.36,0.035,0,1.039976484420929,-0.14135930752888504,0,medium
M00131,128.6,134.4,129.1,0.053,0.214,0.09,0,1.0451010886469674,-0.1779173932100081,0,low
M00132,54.5,116.7,54.4,0.326,0.576,0.047,1,2.141284403669725,0.00017670011473991387,1,high
M00133,152.5,159.3,157.2,0.039,0.374,0.05,0,1.0445901639344264,-0.16227941607359592,0,low
M00134,87.4,85.4,89.0,0.022,0.394,0.173,0,0.977116704805492,-0.13713473494158135,0,medium
M00135,91.2,216.8,89.5,0.432,0.573,0.25,1,2.3771929824561404,0.07761643166503396,1,high
M00136,174.7,176.3,171.4,0.026,0.149,0.02,0,1.0091585575271895,-0.128236465814055,0,medium
M00137,80.1,83.3,84.0,0.025,0.308,0.145,0,1.0399500624219726,-0.17318813400196947,0,low
M00138,72.2,73.4,65.9,0.055,0.106,0.098,0,1.0166204986149585,-0.14816873896408295,0,medium
M00139,134.7,139.3,137.8,0.119,0.388,0.15,0,1.0341499628804753,-0.13322721483054045,0,medium
M00140,133.1,132.7,124.9,0.005,0.301,0.081,0,0.9969947407963936,-0.15442415390520275,0,medium
M00141,136.9,138.2,144.8,0.092,0.174,0.02,0,1.0094959824689553,-0.14730158980028407,0,medium
M00142,66.6,112.5,67.0,0.196,0.636,0.14,1,1.6891891891891893,-0.016349278920481658,0,high
M00143,101.0,87.8,104.4,0.097,0.285,0.055,0,0.8693069306930693,-0.14887232238871217,0,medium
M00144,62.6,112.3,71.7,0.493,0.455,0.084,1,1.7939297124600637,-0.004981845040925137,0,high
M00145,87.9,101.7,85.2,0.027,0.313,0.02,0,1.1569965870307166,-0.14813361658100305,0,medium
M00146,71.7,67.2,61.5,0.055,0.286,0.072,0,0.9372384937238494,-0.15753056020159828,0,low
M00147,77.8,76.3,83.2,0.015,0.245,0.081,0,0.980719794344473,-0.17278235637805234,0,low
M00148,99.8,107.9,95.7,0.084,0.191,0.107,0,1.0811623246492987,-0.17466092038712944,0,low
M00149,128.2,133.8,126.6,0.048,0.147,0.094,0,1.043681747269891,-0.1681296473935635,0,low
M00150,105.0,108.4,115.1,0.114,0.143,0.06,0,1.0323809523809524,-0.16211874692040068,0,low
M00151,141.0,148.3,136.3,0.052,0.116,0.108,0,1.05177304964539,-0.15674944088427795,0,medium
M00152,126.8,142.0,115.5,0.004,0.185,0.041,0,1.1198738170347002,-0.1182695623914089,0,high
M00153,92.5,94.6,101.7,0.098,0.359,0.09,0,1.0227027027027027,-0.18092347403625253,0,low
M00154,82.9,91.9,71.3,0.108,0.24,0.128,0,1.1085645355850422,-0.16902789180439293,0,low
M00155,89.8,90.6,90.0,0.057,0.285,0.067,0,1.0089086859688197,-0.18364464083835724,0,low
M00156,159.3,149.3,162.6,0.06,0.232,0.078,0,0.9372253609541745,-0.15424983799498615,0,medium
M00157,60.8,67.0,55.9,0.007,0.349,0.081,0,1.1019736842105263,-0.1325426149177018,0,medium
M00158,152.6,156.3,145.2,0.098,0.138,0.082,0,1.024246395806029,-0.15795135817589745,0,low
M00159,58.4,57.8,71.6,0.028,0.297,0.143,0,0.9897260273972602,-0.14481353790426477,0,medium
M00160,96.4,93.4,84.2,0.046,0.243,0.023,0,0.9688796680497925,-0.16771035934106904,0,low
M00161,37.1,35.8,35.2,0.031,0.164,0.127,0,0.9649595687331535,-0.09570533673931164,0,high
M00162,102.5,100.7,113.9,0.023,0.263,0.115,0,0.9824390243902439,-0.16707629569688714,0,low
M00163,42.8,79.4,34.2,0.428,0.458,0.284,1,1.8551401869158881,0.039102208063449106,1,high
M00164,104.2,87.0,92.9,0.046,0.269,0.194,0,0.8349328214971209,-0.12672221949211498,0,medium
M00165,91.7,98.4,83.7,0.032,0.242,0.02,0,1.0730643402399127,-0.1546322921786879,0,medium
M00166,200.1,186.9,199.2,0.107,0.164,0.125,0,0.9340329835082459,-0.09233558638123807,0,high
M00167,134.4,226.9,136.1,0.469,0.481,0.158,1,1.6882440476190477,0.05357151977490193,1,high
M00168,107.1,116.2,100.9,0.0,0.29,0.034,0,1.084967320261438,-0.14500722680757233,0,medium
M00169,302.0,296.1,309.5,0.108,0.289,0.104,0,0.9804635761589404,0.03339475039568307,1,high
M00170,107.7,142.4,93.1,0.173,0.637,0.066,1,1.3221912720519964,-0.026966691571724044,0,high
M00171,69.8,77.1,70.3,0.016,0.368,0.236,0,1.1045845272206303,-0.10240076748359167,0,high
M00172,167.8,169.5,166.7,0.081,0.14,0.166,0,1.0101311084624551,-0.1337870827390782,0,medium
M00173,116.3,110.0,111.5,0.078,0.216,0.114,0,0.945829750644884,-0.17097096697534792,0,low
M00174,33.5,33.5,24.8,0.101,0.133,0.132,0,1.0,-0.06735304771918671,0,high
M00175,126.2,132.9,128.6,0.003,0.277,0.25,0,1.0530903328050714,-0.09810066288989117,0,high
M00176,94.9,85.0,90.3,0.03,0.138,0.136,0,0.8956796628029504,-0.14987082664487789,0,medium
M00177,162.0,156.9,163.0,0.024,0.331,0.172,0,0.9685185185185186,-0.13666918287240476,0,medium
M00178,80.5,77.7,73.2,0.031,0.127,0.023,0,0.9652173913043479,-0.14245230232932515,0,medium
M00179,79.5,90.3,74.1,0.075,0.355,0.137,0,1.1358490566037736,-0.1727910284671218,0,low
M00180,103.8,117.9,97.6,0.043,0.212,0.02,0,1.1358381502890174,-0.14590647608389584,0,medium
M00181,103.0,111.3,112.1,0.04,0.249,0.096,0,1.0805825242718445,-0.17442641745338666,0,low
M00182,32.7,24.7,30.5,0.029,0.293,0.02,0,0.7553516819571865,0.00235245941791673,1,high
M00183,41.9,99.7,44.7,0.188,0.624,0.077,1,2.379474940334129,0.04119498383844944,1,high
M00184,102.6,101.0,108.9,0.036,0.305,0.043,0,0.9844054580896686,-0.17033906964687406,0,low
M00185,210.1,214.3,222.2,0.104,0.166,0.154,0,1.0199904807234652,-0.0880662848417526,0,high
M00186,87.3,97.7,108.1,0.017,0.139,0.254,0,1.1191294387170676,-0.08514461308097199,0,high
M00187,174.0,184.9,175.6,0.085,0.112,0.084,0,1.0626436781609196,-0.13454736094172487,0,medium
M00188,57.2,95.0,53.0,0.369,0.546,0.125,1,1.6608391608391608,-0.02289828886196732,0,high
M00189,247.0,256.1,230.2,0.109,0.274,0.077,0,1.036842105263158,-0.052626769050992395,0,high
M00190,110.0,109.4,122.8,0.082,0.373,0.041,0,0.9945454545454546,-0.16661967369481206,0,low
M00191,76.2,72.2,79.6,0.087,0.341,0.125,0,0.9475065616797901,-0.1754839875263871,0,low
M00192,138.5,141.7,135.6,0.096,0.205,0.138,0,1.023104693140794,-0.16781891477554817,0,low
M00193,162.4,170.1,159.6,0.042,0.129,0.13,0,1.0474137931034482,-0.1334217267534616,0,medium
M00194,64.4,143.3,63.4,0.312,0.688,0.238,1,2.2251552795031055,0.06236472546011762,1,high
M00195,57.8,114.7,52.5,0.368,0.597,0.146,1,1.9844290657439447,0.004954787449241049,1,high
M00196,188.1,178.9,173.6,0.018,0.316,0.055,0,0.951089845826688,-0.12616427046103917,0,medium
M00197,164.4,173.2,157.8,0.062,0.249,0.102,0,1.0535279805352797,-0.17055337827029932,0,low
M00198,104.9,115.0,110.6,0.067,0.258,0.139,0,1.09628217349857,-0.1724319472701915,0,low
M00199,131.5,133.4,127.5,0.008,0.204,0.036,0,1.0144486692015209,-0.15204184847269836,0,medium
M00200,67.4,68.2,67.8,0.007,0.112,0.151,0,1.0118694362017804,-0.11462128026197616,0,high
M00201,173.2,177.4,167.2,0.042,0.355,0.02,0,1.0242494226327945,-0.1310231395137305,0,medium
M00202,156.3,152.1,162.6,0.106,0.103,0.048,0,0.9731285988483684,-0.12257657494743229,0,medium
M00203,125.2,138.7,126.7,0.072,0.232,0.181,0,1.1078274760383386,-0.13891864626268213,0,medium
M00204,96.5,99.4,93.8,0.012,0.173,0.086,0,1.0300518134715027,-0.17305542790242073,0,low
M00205,112.8,117.2,124.5,0.081,0.216,0.074,0,1.0390070921985817,-0.1781077880473395,0,low
M00206,77.4,74.8,77.8,0.073,0.344,0.025,0,0.96640826873385,-0.16885336755552488,0,low
M00207,116.1,124.2,114.5,0.036,0.245,0.064,0,1.0697674418604652,-0.17806247992774726,0,low
M00208,160.5,172.0,156.3,0.085,0.323,0.052,0,1.071651090342679,-0.15586967698802545,0,medium
M00209,147.7,146.2,146.0,0.091,0.333,0.036,0,0.989844278943805,-0.16466199335522286,0,low
M00210,135.2,134.1,130.2,0.036,0.247,0.18,0,0.9918639053254438,-0.16014365843131884,0,low
M00211,133.7,140.5,125.1,0.044,0.153,0.112,0,1.0508601346297681,-0.16153723542305942,0,low
M00212,111.4,121.8,118.5,0.003,0.386,0.081,0,1.0933572710951525,-0.14086561228923672,0,medium
M00213,77.0,152.4,67.9,0.5,0.564,0.049,1,1.9792207792207792,0.03826713956773442,1,high
M00214,65.3,60.1,51.1,0.036,0.313,0.135,0,0.9203675344563553,-0.14406238159655294,0,medium
M00215,216.0,225.6,200.5,0.038,0.311,0.111,0,1.0444444444444445,-0.10133812590269192,0,high
M00216,70.8,60.7,73.9,0.064,0.243,0.023,0,0.8573446327683617,-0.12459210942673193,0,medium
M00217,180.2,187.5,177.7,0.006,0.247,0.067,0,1.0405105438401776,-0.13210653168394493,0,medium
M00218,110.1,106.1,107.4,0.032,0.264,0.084,0,0.963669391462307,-0.17354956780074254,0,low
M00219,126.3,128.1,141.3,0.074,0.294,0.108,0,1.0142517814726841,-0.18390713315612528,0,low
M00220,105.1,113.1,106.5,0.08,0.28,0.022,0,1.076117982873454,-0.1618452896077111,0,low
M00221,57.4,122.5,63.4,0.439,0.695,0.224,1,2.1341463414634148,0.05821255662713498,1,high
M00222,112.2,104.5,106.8,0.102,0.241,0.071,0,0.9313725490196079,-0.16912785268999975,0,low
M00223,87.5,90.8,78.5,0.074,0.156,0.02,0,1.0377142857142856,-0.15502777151278763,0,medium
M00224,36.0,24.5,42.1,0.023,0.307,0.02,0,0.6805555555555556,-0.010260659727971522,0,high
M00225,29.1,67.2,24.9,0.447,0.362,0.089,1,2.3092783505154637,0.03991681117520751,1,high
M00226,102.9,103.6,97.4,0.041,0.158,0.116,0,1.0068027210884352,-0.17767864797384886,0,low
M00227,310.0,318.5,314.0,0.029,0.176,0.088,0,1.0274193548387096,0.03894352460598938,1,high
M00228,30.6,32.3,44.0,0.036,0.104,0.224,0,1.0555555555555554,-0.0386615999600749,0,high
M00229,107.5,101.0,111.0,0.088,0.393,0.177,0,0.9395348837209302,-0.12224893593696318,0,high
M00230,149.7,147.0,160.3,0.011,0.265,0.079,0,0.9819639278557115,-0.16141231314440668,0,low
M00231,82.5,80.1,84.2,0.002,0.378,0.022,0,0.9709090909090908,-0.13679582521773676,0,medium
M00232,119.9,118.6,117.8,0.091,0.254,0.19,0,0.9891576313594661,-0.16249778666009995,0,low
M00233,80.6,78.3,84.5,0.033,0.185,0.027,0,0.9714640198511166,-0.16093183425105623,0,low
M00234,167.3,166.8,152.8,0.021,0.245,0.085,0,0.9970113568439928,-0.1643975827023194,0,low
M00235,20.7,40.7,13.8,0.513,0.538,0.066,1,1.9661835748792273,0.05394526810351841,1,high
M00236,147.4,159.7,148.7,0.003,0.247,0.06,0,1.0834464043419265,-0.15026049842076572,0,medium
M00237,91.4,196.1,82.1,0.24,0.68,0.144,1,2.1455142231947484,0.057340092014546706,1,high
M00238,174.8,188.0,170.7,0.084,0.206,0.127,0,1.0755148741418763,-0.14076430131583367,0,medium
M00239,71.3,68.0,67.5,0.038,0.227,0.02,0,0.9537166900420758,-0.13747354028909342,0,medium
M00240,71.1,76.5,71.1,0.064,0.189,0.054,0,1.0759493670886078,-0.16859530402056494,0,low
M00241,77.5,75.2,72.5,0.099,0.273,0.059,0,0.9703225806451613,-0.18293272403606042,0,low
M00242,186.0,185.2,189.6,0.06,0.326,0.022,0,0.9956989247311827,-0.13560453191204086,0,medium
M00243,125.8,183.0,143.9,0.218,0.43,0.209,1,1.4546899841017489,-0.030977729380528007,0,high
M00244,105.2,103.9,103.9,0.082,0.231,0.043,0,0.9876425855513308,-0.17706391847903047,0,low
M00245,113.8,127.8,108.4,0.076,0.186,0.089,0,1.1230228471001757,-0.16679711474454267,0,low
M00246,122.5,123.7,131.0,0.002,0.283,0.068,0,1.009795918367347,-0.15909226278204225,0,low
M00247,59.4,63.7,67.5,0.063,0.102,0.046,0,1.0723905723905724,-0.1252207715513794,0,medium
M00248,217.6,219.7,223.3,0.083,0.34,0.101,0,1.0096507352941175,-0.10515019019909966,0,high
M00249,163.7,168.8,157.5,0.111,0.312,0.173,0,1.0311545510079414,-0.13500386311470736,0,medium
M00250,73.5,81.7,79.5,0.011,0.202,0.052,0,1.1115646258503402,-0.15237736528254087,0,medium
M00251,77.9,78.7,71.7,0.086,0.169,0.074,0,1.0102695763799743,-0.18042341537920503,0,low
M00252,105.7,98.8,107.8,0.079,0.394,0.072,0,0.934720908230842,-0.15895699130414304,0,low
M00253,105.0,104.0,107.8,0.059,0.124,0.117,0,0.9904761904761905,-0.16089378405815474,0,low
M00254,102.7,97.0,116.2,0.016,0.128,0.114,0,0.9444985394352483,-0.14087880988536217,0,medium
M00255,168.5,179.9,167.2,0.026,0.148,0.042,0,1.0676557863501484,-0.13894797186273955,0,medium
M00256,133.3,133.2,141.2,0.091,0.24,0.077,0,0.9992498124531131,-0.1792901974059657,0,low
M00257,156.7,151.3,135.9,0.108,0.151,0.033,0,0.9655392469687302,-0.14249493720237727,0,medium
M00258,212.2,206.6,207.5,0.117,0.106,0.022,0,0.9736098020735156,-0.055733071906456155,0,high
M00259,77.5,86.1,72.8,0.011,0.123,0.185,0,1.1109677419354838,-0.10834528071371424,0,high
M00260,177.3,178.8,164.3,0.031,0.125,0.111,0,1.0084602368866329,-0.14608724316478222,0,medium
